word,word_type,chunked_sentence,masked_chunked_sentence,example_sentence,masked_example_sentence,openai_sentence,masked_openai_sentence
been,Sight Words,,,The September-October term jury had been charged by Fulton Superior Court Judge Durwood Pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won by Mayor-nominate Ivan Allen Jr. .,The september-october term jury had **** charged by fulton superior court judge durwood pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won by mayor-nominate ivan allen jr. .,I have been to the zoo.,I have **** to the zoo.
but,Sight Words,,,"`` This is one of the major items in the Fulton County general assistance program '' , the jury said , but the State Welfare Department `` has seen fit to distribute these funds through the welfare departments of all the counties in the state with the exception of Fulton County , which receives none of this money .","`` this is one of the major items in the fulton county general assistance program '' , the jury said , *** the state welfare department `` has seen fit to distri***e these funds through the welfare departments of all the counties in the state with the exception of fulton county , which receives none of this money .","I like apples, but not oranges.","I like apples, *** not oranges."
by,Sight Words,,,The September-October term jury had been charged by Fulton Superior Court Judge Durwood Pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won by Mayor-nominate Ivan Allen Jr. .,The september-october term jury had been charged ** fulton superior court judge durwood pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won ** mayor-nominate ivan allen jr. .,The park is by my house.,The park is ** my house.
called,Sight Words,,,State and federal legislation against racial discrimination in employment was called for yesterday in a report of a `` blue ribbon '' citizens committee on the aid to dependent children program .,State and federal legislation against racial discrimination in employment was ****** for yesterday in a report of a `` blue ribbon '' citizens committee on the aid to dependent children program .,My name is called in class.,My name is ****** in class.
can,Sight Words,,,Pelham said Sunday night there was research being done on whether the `` quickie '' vote on the increase can be repealed outright or whether notice would have to first be given that reconsideration of the action would be sought .,Pelham said sunday night there was research being done on whether the `` quickie '' vote on the increase *** be repealed outright or whether notice would have to first be given that reconsideration of the action would be sought .,I can ride a bike.,I *** ride a bike.
could,Sight Words,,,"The bill would increase from $5,000,000 to $15,000,000 the maximum loan the state could make to a local water project .","The bill would increase from $5,000,000 to $15,000,000 the maximum loan the state ***** make to a local water project .",I could swim yesterday.,I ***** swim yesterday.
did,Sight Words,,,The jury said it did find that many of Georgia's registration and election laws `` are outmoded or inadequate and often ambiguous '' .,The jury said it *** find that many of georgia's registration and election laws `` are outmoded or inadequate and often ambiguous '' .,I did my homework.,I *** my homework.
do,Sight Words,,,`` Failure to do this will continue to place a disproportionate burden '' on Fulton taxpayers .,`` failure to ** this will continue to place a disproportionate burden '' on fulton taxpayers .,I do my chores every Saturday.,I ** my chores every saturday.
down,Sight Words,,,"Daniel personally led the fight for the measure , which he had watered down considerably since its rejection by two previous Legislatures , in a public hearing before the House Committee on Revenue and Taxation .","Daniel personally led the fight for the measure , which he had watered **** considerably since its rejection by two previous legislatures , in a public hearing before the house committee on revenue and taxation .",The ball rolled down the hill.,The ball rolled **** the hill.
each,Sight Words,,,"Five per cent of the voters in each county must sign petitions requesting that the Republicans be allowed to place names of candidates on the general election ballot , or 2","Five per cent of the voters in **** county must sign petitions requesting that the republicans be allowed to place names of candidates on the general election ballot , or 2",Each student gets a book.,**** student gets a book.
find,Sight Words,,,The jury said it did find that many of Georgia's registration and election laws `` are outmoded or inadequate and often ambiguous '' .,The jury said it did **** that many of georgia's registration and election laws `` are outmoded or inadequate and often ambiguous '' .,Can you find the hidden toy?,Can you **** the hidden toy?
first,Sight Words,,,"The largest hurdle the Republicans would have to face is a state law which says that before making a first race , one of two alternative courses must be taken : 1","The largest hurdle the republicans would have to face is a state law which says that before making a ***** race , one of two alternative courses must be taken : 1",I was first in line.,I was ***** in line.
for,Sight Words,,,"The jury further said in term-end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .","The jury further said in term-end presentments that the city executive committee , which had over-all charge of the election , `` deserves the praise and thanks of the city of atlanta '' *** the manner in which the election was conducted .",This gift is for you.,This gift is *** you.
from,Sight Words,,,"`` These actions should serve to protect in fact and in effect the court's wards from undue costs and its appointed and elected servants from unmeritorious criticisms '' , the jury said .","`` these actions should serve to protect in fact and in effect the court's wards **** undue costs and its appointed and elected servants **** unmeritorious criticisms '' , the jury said .",This gift is from my mom.,This gift is **** my mom.
go,Sight Words,,,"The bond issue will go to the state courts for a friendly test suit to test the validity of the act , and then the sales will begin and contracts let for repair work on some of Georgia's most heavily traveled highways .","The bond issue will ** to the state courts for a friendly test suit to test the validity of the act , and then the sales will begin and contracts let for repair work on some of georgia's most heavily traveled highways .",Let's go to the zoo!,Let's ** to the zoo!
had,Sight Words,,,"The jury further said in term-end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .","The jury further said in term-end presentments that the city executive committee , which *** over-all charge of the election , `` deserves the praise and thanks of the city of atlanta '' for the manner in which the election was conducted .",I had pancakes for breakfast.,I *** pancakes for breakfast.
has,Sight Words,,,"`` This is one of the major items in the Fulton County general assistance program '' , the jury said , but the State Welfare Department `` has seen fit to distribute these funds through the welfare departments of all the counties in the state with the exception of Fulton County , which receives none of this money .","`` this is one of the major items in the fulton county general assistance program '' , the jury said , but the state welfare department `` *** seen fit to distribute these funds through the welfare departments of all the counties in the state with the exception of fulton county , which receives none of this money .",My cat has soft fur.,My cat *** soft fur.
have,Sight Words,,,It recommended that Fulton legislators act `` to have these laws studied and revised to the end of modernizing and improving them '' .,It recommended that fulton legislators act `` to **** these laws studied and revised to the end of modernizing and improving them '' .,I have a question.,I **** a question.
he,Sight Words,,,"He will be succeeded by Ivan Allen Jr. , who became a candidate in the Sept. 13 primary after Mayor Hartsfield announced that he would not run for reelection .","** will be succeeded by ivan allen jr. , who became a candidate in t** sept. 13 primary after mayor hartsfield announced that ** would not run for reelection .",He is my brother.,** is my brot**r.
her,Sight Words,,,"Mrs. Molvar , who kept reiterating her request that they `` please take a stand '' , said , `` We must have faith in somebody -- on the local level , and it wouldn't be possible for everyone to rush to a school to get their children '' .","Mrs. molvar , who kept reiterating *** request that they `` please take a stand '' , said , `` we must have faith in somebody -- on the local level , and it wouldn't be possible for everyone to rush to a school to get their children '' .",She brought her lunch today.,She brought *** lunch today.
him,Sight Words,,,But he added that none of Georgia's congressmen specifically asked him to offer the resolution .,But he added that none of georgia's congressmen specifically asked *** to offer the resolution .,I gave him a high,I gave *** a high
his,Sight Words,,,"Mayor William B. Hartsfield filed suit for divorce from his wife , Pearl Williams Hartsfield , in Fulton Superior Court Friday .","Mayor william b. hartsfield filed suit for divorce from *** wife , pearl williams hartsfield , in fulton superior court friday .",This is his book.,T*** is *** book.
how,Sight Words,,,He did not say by how much .,He did not say by *** much .,How do you do that?,*** do you do that?
if,Sight Words,,,"`` If you destroy confidence in banks , you do something to the economy '' , he said .","`` ** you destroy confidence in banks , you do something to the economy '' , he said .","If it rains, we'll stay inside.","** it rains, we'll stay inside."
in,Sight Words,,,"The jury further said in term-end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .","The jury further said ** term-end presentments that the city executive committee , which had over-all charge of the election , `` deserves the praise and thanks of the city of atlanta '' for the manner ** which the election was conducted .",The cat is in the box.,The cat is ** the box.
into,Sight Words,,,"The jury said it found the court `` has incorporated into its operating procedures the recommendations '' of two previous grand juries , the Atlanta Bar Association and an interim citizens committee .","The jury said it found the court `` has incorporated **** its operating procedures the recommendations '' of two previous grand juries , the atlanta bar association and an interim citizens committee .",We went into the cave.,We went **** the cave.
is,Sight Words,,,"The City Purchasing Department , the jury said , `` is lacking in experienced clerical personnel as a result of city personnel policies '' .","The city purchasing department , the jury said , `` ** lacking in experienced clerical personnel as a result of city personnel policies '' .",My cat is very fluffy.,My cat ** very fluffy.
it,Sight Words,,,The jury said it did find that many of Georgia's registration and election laws `` are outmoded or inadequate and often ambiguous '' .,The jury said ** did find that many of georgia's registration and election laws `` are outmoded or inadequate and often ambiguous '' .,It is raining outside.,** is raining outside.
its,Sight Words,,,"The jury also commented on the Fulton ordinary's court which has been under fire for its practices in the appointment of appraisers , guardians and administrators and the awarding of fees and compensation .","The jury also commented on the fulton ordinary's court which has been under fire for *** practices in the appointment of appraisers , guardians and administrators and the awarding of fees and compensation .",The dog wagged its tail.,The dog wagged *** tail.
just,Sight Words,,,`` Being at the polls was just like being at church .,`` being at the polls was **** like being at church .,I just finished my snack.,I **** finished my snack.
know,Sight Words,,,"Speaking of the present status of civil defense in the city , Mr. Hawksley said he would be willing to bet that not more than one person in a hundred would know what to do or where to go in the event of an enemy attack .","Speaking of the present status of civil defense in the city , mr. hawksley said he would be willing to bet that not more than one person in a hundred would **** what to do or where to go in the event of an enemy attack .",Do you know how to swim?,Do you **** how to swim?
like,Sight Words,,,"Barber , who is in his 13th year as a legislator , said there `` are some members of our congressional delegation in Washington who would like to see it ( the resolution ) passed '' .","Barber , who is in his 13th year as a legislator , said there `` are some members of our congressional delegation in washington who would **** to see it ( the resolution ) passed '' .",I like ice cream.,I **** ice cream.
little,Sight Words,,,But questions with which committee members taunted bankers appearing as witnesses left little doubt that they will recommend passage of it .,But questions with which committee members taunted bankers appearing as witnesses left ****** doubt that they will recommend passage of it .,My sister is a little baby.,My sister is a ****** baby.
long,Sight Words,,,"-- After a long , hot controversy , Miller County has a new school superintendent , elected , as a policeman put it , in the `` coolest election I ever saw in this county '' .","-- after a **** , hot controversy , miller county has a new school superintendent , elected , as a policeman put it , in the `` coolest election i ever saw in this county '' .",How long is the river?,How **** is the river?
made,Sight Words,,,"Before adjournment Monday afternoon , the Senate is expected to approve a study of the number of legislators allotted to rural and urban areas to determine what adjustments should be made .","Before adjournment monday afternoon , the senate is expected to approve a study of the number of legislators allotted to rural and urban areas to determine what adjustments should be **** .",I made a paper airplane.,I **** a paper airplane.
make,Sight Words,,,"When the crowd was asked whether it wanted to wait one more term to make the race , it voted no -- and there were no dissents .","When the crowd was asked whether it wanted to wait one more term to **** the race , it voted no -- and there were no dissents .",I make cookies with my mom.,I **** cookies with my mom.
many,Sight Words,,,The jury said it did find that many of Georgia's registration and election laws `` are outmoded or inadequate and often ambiguous '' .,The jury said it did find that **** of georgia's registration and election laws `` are outmoded or inadequate and often ambiguous '' .,There are many books in the library.,There are **** books in the library.
may,Sight Words,,,It urged that the next Legislature `` provide enabling funds and re-set the effective date so that an orderly implementation of the law may be effected '' .,It urged that the next legislature `` provide enabling funds and re-set the effective date so that an orderly implementation of the law *** be effected '' .,May I have a cookie?,*** i have a cookie?
me,Sight Words,,,Some of my fellow workers were grooming me for an office in the Socialist Party .,So** of my fellow workers were grooming ** for an office in the socialist party .,Can you pass the crayons to me?,Can you pass the crayons to **?
more,Sight Words,,,The petition said that the couple has not lived together as man and wife for more than a year .,The petition said that the couple has not lived together as man and wife for **** than a year .,"I want more apples, please.","I want **** apples, please."
most,Sight Words,,,"The bond issue will go to the state courts for a friendly test suit to test the validity of the act , and then the sales will begin and contracts let for repair work on some of Georgia's most heavily traveled highways .","The bond issue will go to the state courts for a friendly test suit to test the validity of the act , and then the sales will begin and contracts let for repair work on some of georgia's **** heavily traveled highways .",She has the most stickers.,She has the **** stickers.
my,Sight Words,,,I'm willing to stake my political career on it '' .,I'm willing to stake ** political career on it '' .,My dog is very fluffy.,** dog is very fluffy.
no,Sight Words,,,The Fulton County Grand Jury said Friday an investigation of Atlanta's recent primary election produced `` no evidence '' that any irregularities took place .,The fulton county grand jury said friday an investigation of atlanta's recent primary election produced `` ** evidence '' that any irregularities took place .,"No, thank you, I'm full.","**, thank you, i'm full."
not,Sight Words,,,"The jury did not elaborate , but it added that `` there should be periodic surveillance of the pricing practices of the concessionaires for the purpose of keeping the prices reasonable '' .","The jury did *** elaborate , but it added that `` there should be periodic surveillance of the pricing practices of the concessionaires for the purpose of keeping the prices reasonable '' .",I'm not tired yet.,I'm *** tired yet.
now,Sight Words,,,"The escheat law cannot be enforced now because it is almost impossible to locate such property , Daniel declared .","The escheat law cannot be enforced *** because it is almost impossible to locate such property , daniel declared .",Now it's time to clean up.,*** it's time to clean up.
of,Sight Words,,,The Fulton County Grand Jury said Friday an investigation of Atlanta's recent primary election produced `` no evidence '' that any irregularities took place .,The fulton county grand jury said friday an investigation ** atlanta's recent primary election produced `` no evidence '' that any irregularities took place .,"A cup of water, please.","A cup ** water, please."
on,Sight Words,,,"The grand jury commented on a number of other topics , among them the Atlanta and Fulton County purchasing departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of both governments '' .","The grand jury commented ** a number of other topics , am**g them the atlanta and fult** county purchasing departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of both governments '' .",The cat is on the roof.,The cat is ** the roof.
one,Sight Words,,,"`` This is one of the major items in the Fulton County general assistance program '' , the jury said , but the State Welfare Department `` has seen fit to distribute these funds through the welfare departments of all the counties in the state with the exception of Fulton County , which receives none of this money .","`` this is *** of the major items in the fulton county general assistance program '' , the jury said , but the state welfare department `` has seen fit to distribute these funds through the welfare departments of all the counties in the state with the exception of fulton county , which receives n*** of this m***y .",I have one brother.,I have *** brother.
only,Sight Words,,,"`` Only a relative handful of such reports was received '' , the jury said , `` considering the widespread interest in the election , the number of voters and the size of this city '' .","`` **** a relative handful of such reports was received '' , the jury said , `` considering the widespread interest in the election , the number of voters and the size of this city '' .",She is the only one with a red hat.,She is the **** one with a red hat.
or,Sight Words,,,The jury said it did find that many of Georgia's registration and election laws `` are outmoded or inadequate and often ambiguous '' .,The jury said it did find that many of ge**gia's registration and election laws `` are outmoded ** inadequate and often ambiguous '' .,Do you want tea or coffee?,Do you want tea ** coffee?
other,Sight Words,,,"The grand jury commented on a number of other topics , among them the Atlanta and Fulton County purchasing departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of both governments '' .","The grand jury commented on a number of ***** topics , among them the atlanta and fulton county purchasing departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of both governments '' .",The other cookie is for you.,The ***** cookie is for you.
out,Sight Words,,,"In the Blue Ridge meeting , the audience was warned that entering a candidate for governor would force it to take petitions out into voting precincts to obtain the signatures of registered voters .","In the blue ridge meeting , the audience was warned that entering a candidate for governor would force it to take petitions *** into voting precincts to obtain the signatures of registered voters .",Let's go out to play.,Let's go *** to play.
over,Sight Words,,,"It permits the state to take over bank accounts , stocks and other personal property of persons missing for seven years or more .","It permits the state to take **** bank accounts , stocks and other personal property of persons missing for seven years or more .",The game is over.,The game is ****.
people,Sight Words,,,"`` But I believe if people were better informed on this question , most of them would oppose it also .","`` but i believe if ****** were better informed on this question , most of them would oppose it also .",People live in houses.,****** live in houses.
said,Sight Words,,,The Fulton County Grand Jury said Friday an investigation of Atlanta's recent primary election produced `` no evidence '' that any irregularities took place .,The fulton county grand jury **** friday an investigation of atlanta's recent primary election produced `` no evidence '' that any irregularities took place .,She said she would come.,She **** she would come.
see,Sight Words,,,"Barber , who is in his 13th year as a legislator , said there `` are some members of our congressional delegation in Washington who would like to see it ( the resolution ) passed '' .","Barber , who is in his 13th year as a legislator , said there `` are some members of our congressional delegation in washington who would like to *** it ( the resolution ) passed '' .",I see a bird in the tree.,I *** a bird in the tree.
she,Sight Words,,,She also was the original GOP national committeewoman from New Jersey in the early 1920s following adoption of the women's suffrage amendment .,*** also was the original gop national committeewoman from new jersey in the early 1920s following adoption of the women's suffrage amendment .,She is my friend.,*** is my friend.
so,Sight Words,,,It urged that the next Legislature `` provide enabling funds and re-set the effective date so that an orderly implementation of the law may be effected '' .,It urged that the next legislature `` provide enabling funds and re-set the effective date ** that an orderly implementation of the law may be effected '' .,I am so happy.,I am ** happy.
some,Sight Words,,,"Nevertheless , `` we feel that in the future Fulton County should receive some portion of these available funds '' , the jurors said .","Nevertheless , `` we feel that in the future fulton county should receive **** portion of these available funds '' , the jurors said .",I want some candy.,I want **** candy.
than,Sight Words,,,The petition said that the couple has not lived together as man and wife for more than a year .,The petition said that the couple has not lived together as man and wife for more **** a year .,Apples are sweeter than lemons.,Apples are sweeter **** lemons.
that,Sight Words,,,The Fulton County Grand Jury said Friday an investigation of Atlanta's recent primary election produced `` no evidence '' that any irregularities took place .,The fulton county grand jury said friday an investigation of atlanta's recent primary election produced `` no evidence '' **** any irregularities took place .,Is that your book?,Is **** your book?
the,Sight Words,,,The Fulton County Grand Jury said Friday an investigation of Atlanta's recent primary election produced `` no evidence '' that any irregularities took place .,*** fulton county grand jury said friday an investigation of atlanta's recent primary election produced `` no evidence '' that any irregularities took place .,The dog barked loudly.,*** dog barked loudly.
their,Sight Words,,,"Dewey Lawrence , a Tyler lawyer representing the Texas Bankers Association , sounded the opposition keynote when he said it would force banks to violate their contractual obligations with depositors and undermine the confidence of bank customers .","Dewey lawrence , a tyler lawyer representing the texas bankers association , sounded the opposition keynote when he said it would force banks to violate ***** contractual obligations with depositors and undermine the confidence of bank customers .",Their house is big.,***** house is big.
them,Sight Words,,,It recommended that Fulton legislators act `` to have these laws studied and revised to the end of modernizing and improving them '' .,It recommended that fulton legislators act `` to have these laws studied and revised to the end of modernizing and improving **** '' .,Give them the cookies.,Give **** the cookies.
then,Sight Words,,,"The bond issue will go to the state courts for a friendly test suit to test the validity of the act , and then the sales will begin and contracts let for repair work on some of Georgia's most heavily traveled highways .","The bond issue will go to the state courts for a friendly test suit to test the validity of the act , and **** the sales will begin and contracts let for repair work on some of georgia's most heavily traveled highways .","We ate lunch, then went outside.","We ate lunch, **** went outside."
there,Sight Words,,,"The jury did not elaborate , but it added that `` there should be periodic surveillance of the pricing practices of the concessionaires for the purpose of keeping the prices reasonable '' .","The jury did not elaborate , but it added that `` ***** should be periodic surveillance of the pricing practices of the concessionaires for the purpose of keeping the prices reasonable '' .",Look over there!,Look over *****!
these,Sight Words,,,It recommended that Fulton legislators act `` to have these laws studied and revised to the end of modernizing and improving them '' .,It recommended that fulton legislators act `` to have ***** laws studied and revised to the end of modernizing and improving them '' .,These are my crayons.,***** are my crayons.
they,Sight Words,,,The jurors said they realize `` a proportionate distribution of these funds might disable this program in our less populous counties '' .,The jurors said **** realize `` a proportionate distribution of these funds might disable this program in our less populous counties '' .,They are my friends.,**** are my friends.
this,Sight Words,,,"`` Only a relative handful of such reports was received '' , the jury said , `` considering the widespread interest in the election , the number of voters and the size of this city '' .","`` only a relative handful of such reports was received '' , the jury said , `` considering the widespread interest in the election , the number of voters and the size of **** city '' .",This is my book.,**** is my book.
time,Sight Words,,,Caldwell's resignation had been expected for some time .,Caldwell's resignation had been expected for some **** .,It's time for lunch.,It's **** for lunch.
to,Sight Words,,,The September-October term jury had been charged by Fulton Superior Court Judge Durwood Pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won by Mayor-nominate Ivan Allen Jr. .,The september-oc**ber term jury had been charged by ful**n superior court judge durwood pye ** investigate reports of possible `` irregularities '' in the hard-fought primary which was won by mayor-nominate ivan allen jr. .,Go to the store.,Go ** the s**re.
two,Sight Words,,,"However , the jury said it believes `` these two offices should be combined to achieve greater efficiency and reduce the cost of administration '' .","However , the jury said it believes `` these *** offices should be combined to achieve greater efficiency and reduce the cost of administration '' .",I have two eyes.,I have *** eyes.
up,Sight Words,,,State Party Chairman James W. Dorsey added that enthusiasm was picking up for a state rally to be held Sept. 8 in Savannah at which newly elected Texas Sen. John Tower will be the featured speaker .,State party chairman james w. dorsey added that enthusiasm was picking ** for a state rally to be held sept. 8 in savannah at which newly elected texas sen. john tower will be the featured speaker .,The balloon goes up.,The balloon goes **.
us,Sight Words,,,"Mr. Reama , who retired as vice president of the American Screw Co. in 1955 said , `` Both parties in the last election told us that we need a five per cent growth in the gross national product -- but neither told us how to achieve it '' .","Mr. reama , who retired as vice president of the american screw co. in 1955 said , `` both parties in the last election told ** that we need a five per cent growth in the gross national product -- but neither told ** how to achieve it '' .",Come sit with us.,Come sit with **.
use,Sight Words,,,A patient could receive up to 300 days paid-for nursing home care under a `` unit formula '' allowing more of such care for those who use none or only part of the hospital-care credit .,A patient could receive up to 300 days paid-for nursing home care under a `` unit formula '' allowing more of such care for those who *** none or only part of the hospital-care credit .,I use a pencil to write.,I *** a pencil to write.
very,Sight Words,,,"Meanwhile , it was learned the State Highway Department is very near being ready to issue the first $30 million worth of highway reconstruction bonds .","Meanwhile , it was learned the state highway department is **** near being ready to issue the first $30 million worth of highway reconstruction bonds .",She is very happy.,She is **** happy.
was,Sight Words,,,"The jury further said in term-end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .","The jury further said in term-end presentments that the city executive committee , which had over-all charge of the election , `` deserves the praise and thanks of the city of atlanta '' for the manner in which the election *** conducted .",I was at the park.,I *** at the park.
water,Sight Words,,,-- Paradise lost to the alleged water needs of Texas' big cities Thursday .,-- paradise lost to the alleged ***** needs of texas' big cities thursday .,I drink water every day.,I drink ***** every day.
way,Sight Words,,,"Shortly after the Chief Executive returned to Washington in midmorning from Hyannis Port , Mass. , a White House spokesman said the address text still had `` quite a way to go '' toward completion .","Shortly after the chief executive returned to washington in midmorning from hyannis port , mass. , a white house spokesman said the address text still had `` quite a *** to go '' toward completion .",This is the way home.,This is the *** home.
we,Sight Words,,,"Nevertheless , `` we feel that in the future Fulton County should receive some portion of these available funds '' , the jurors said .","Nevertheless , `` ** feel that in the future fulton county should receive some portion of these available funds '' , the jurors said .",We play at recess.,** play at recess.
were,Sight Words,,,"When the crowd was asked whether it wanted to wait one more term to make the race , it voted no -- and there were no dissents .","When the crowd was asked whether it wanted to wait one more term to make the race , it voted no -- and there **** no dissents .",They were very happy.,They **** very happy.
what,Sight Words,,,"Before adjournment Monday afternoon , the Senate is expected to approve a study of the number of legislators allotted to rural and urban areas to determine what adjustments should be made .","Before adjournment monday afternoon , the senate is expected to approve a study of the number of legislators allotted to rural and urban areas to determine **** adjustments should be made .",What is your name?,**** is your name?
when,Sight Words,,,"Regarding Atlanta's new multi-million-dollar airport , the jury recommended `` that when the new management takes charge Jan. 1 the airport be operated in a manner that will eliminate political influences '' .","Regarding atlanta's new multi-million-dollar airport , the jury recommended `` that **** the new management takes charge jan. 1 the airport be operated in a manner that will eliminate political influences '' .",When is lunch?,**** is lunch?
where,Sight Words,,,The Georgia Legislature will wind up its 1961 session Monday and head for home -- where some of the highway bond money it approved will follow shortly .,The georgia legislature will wind up its 1961 session monday and head for home -- ***** some of the highway bond money it approved will follow shortly .,Where is my book?,***** is my book?
which,Sight Words,,,"The jury further said in term-end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .","The jury further said in term-end presentments that the city executive committee , ***** had over-all charge of the election , `` deserves the praise and thanks of the city of atlanta '' for the manner in ***** the election was conducted .",Which color do you like?,***** color do you like?
who,Sight Words,,,"He will be succeeded by Ivan Allen Jr. , who became a candidate in the Sept. 13 primary after Mayor Hartsfield announced that he would not run for reelection .","He will be succeeded by ivan allen jr. , *** became a candidate in the sept. 13 primary after mayor hartsfield announced that he would not run for reelection .",Who is your teacher?,*** is your teacher?
will,Sight Words,,,`` Failure to do this will continue to place a disproportionate burden '' on Fulton taxpayers .,`` failure to do this **** continue to place a disproportionate burden '' on fulton taxpayers .,I will help you.,I **** help you.
with,Sight Words,,,"`` This is one of the major items in the Fulton County general assistance program '' , the jury said , but the State Welfare Department `` has seen fit to distribute these funds through the welfare departments of all the counties in the state with the exception of Fulton County , which receives none of this money .","`` this is one of the major items in the fulton county general assistance program '' , the jury said , but the state welfare department `` has seen fit to distribute these funds through the welfare departments of all the counties in the state **** the exception of fulton county , which receives none of this money .",I will go with you.,I will go **** you.
words,Sight Words,,,"Speakers at a Tipoff Club dinner dealt lavish praise to a group of St. Louis University players who , in the words of Coach John Benington , `` had more confidence in themselves than I did '' .","Speakers at a tipoff club dinner dealt lavish praise to a group of st. louis university players who , in the ***** of coach john benington , `` had more confidence in themselves than i did '' .",We write words in a book.,We write ***** in a book.
would,Sight Words,,,"He will be succeeded by Ivan Allen Jr. , who became a candidate in the Sept. 13 primary after Mayor Hartsfield announced that he would not run for reelection .","He will be succeeded by ivan allen jr. , who became a candidate in the sept. 13 primary after mayor hartsfield announced that he ***** not run for reelection .",I would like some juice.,I ***** like some juice.
you,Sight Words,,,"`` If you destroy confidence in banks , you do something to the economy '' , he said .","`` if *** destroy confidence in banks , *** do something to the economy '' , he said .",You are my friend.,*** are my friend.
your,Sight Words,,,"`` Yes , your honor '' , replied Bellows .","`` yes , **** honor '' , replied bellows .",Your shoes are big.,**** shoes are big.
cat,Rhyming Words,,,"Alacrity , the Podger cat , came by the hammock , rubbed her back briefly against it , and then , sure of a welcome , hopped up .","Alacrity , the podger *** , came by the hammock , rubbed her back briefly against it , and then , sure of a welcome , hopped up .",My pet is a cat.,My pet is a ***.
