word,word_type,chunked_sentence,masked_chunked_sentence,example_sentence,masked_example_sentence,openai_sentence,masked_openai_sentence
happen,3_science_LS1,we are careless accidents can happen that can cause injury,We are careless accidents can ****** that can cause injury,"There are a number of ways this could happen , the churchmen pointed out , and here is an example :","There are a number of ways this could ****** , the churchmen pointed out , and here is an example :",What will happen next in the story?,What will ****** next in the story?
journey,3_science_LS1,the stakeholders involved in the journey of education be it,The stakeholders involved in the ******* of education be it,"My husband and I , a month ahead of the rush , have just finished a 7-day motor journey of 2809 miles from Tucson , Ariz. , to New York City :","My husband and i , a month ahead of the rush , have just finished a 7-day motor ******* of 2809 miles from tucson , ariz. , to new york city :", We went on a long journey., we went on a long *******.
original,3_science_LS1,must have first taken the original necklace apart separated the,Must have first taken the ******** necklace apart separated the,"He suggested that without the Socialist Party ever gaining a national victory , most of its original program has come to pass under both major parties .","He suggested that without the socialist party ever gaining a national victory , most of its ******** program has come to pass under both major parties .",She had an original idea.,She had an ******** idea.
bird,3_science_LS1,label different body parts of bird,Label different body parts of ****,"`` Take a ride on this one '' , Brooks Robinson greeted Hansen as the Bird third sacker grabbed a bat , headed for the plate and bounced a third-inning two-run double off the left-centerfield wall tonight .","`` take a ride on this one '' , brooks robinson greeted hansen as the **** third sacker grabbed a bat , headed for the plate and bounced a third-inning two-run double off the left-centerfield wall tonight .",A bird can fly.,A **** can fly.
initiative,3_science_LS1,life skills such as leadership initiative and productivity skills,Life skills such as leadership ********** and productivity skills,"This time the initiative came , in part at least , from Washington .","This time the ********** came , in part at least , from washington .", Show initiative by starting first., show ********** by starting first.
guide,3_science_LS1,guide them to research create,***** them to research create,"The meetings in Zurich , the statement said , would deal only with principles that would guide the three factors in their search for a coalition Government .","The meetings in zurich , the statement said , would deal only with principles that would ***** the three factors in their search for a coalition government .",Our teacher will guide us on the trip.,Our teacher will ***** us on the trip.
you,3_science_LS1,about altura macmillan education introduces you to a new world,About altura macmillan education introduces *** to a new world,"`` If you destroy confidence in banks , you do something to the economy '' , he said .","`` if *** destroy confidence in banks , *** do something to the economy '' , he said .",You are my friend.,*** are my friend.
support,3_science_LS1,indispensable set of features to support educational activities such as,Indispensable set of features to ******* educational activities such as,"Rep. Mac Barber of Commerce is asking the House in a privilege resolution to `` endorse increased federal support for public education , provided that such funds be received and expended '' as state funds .","Rep. mac barber of commerce is asking the house in a privilege resolution to `` endorse increased federal ******* for public education , provided that such funds be received and expended '' as state funds .",My family gives me support.,My family gives me *******.
media,3_science_LS1,if i u j 4 media literacy the house sparrow,If i u j 4 ***** literacy the house sparrow,"From next New Year's Day let us keep careful account of each successive fatality on the highways , publicizing it on all media of communication .","From next new year's day let us keep careful account of each successive fatality on the highways , publicizing it on all ***** of communication .", We watch TV on media., we watch tv on *****.
go,3_science_LS1,pa do you know snakes go net have umbs,Pa do you know snakes ** net have umbs,"The bond issue will go to the state courts for a friendly test suit to test the validity of the act , and then the sales will begin and contracts let for repair work on some of Georgia's most heavily traveled highways .","The bond issue will ** to the state courts for a friendly test suit to test the validity of the act , and then the sales will begin and contracts let for repair work on some of georgia's most heavily traveled highways .",Let's go to the zoo!,Let's ** to the zoo!
conduct,3_science_LS1,guide them to conduct survey in thew locality,Guide them to ******* survey in thew locality,"`` The scriptures , both Old and New Testament , are verbally inspired of God and are the revelation of God to man , the infallible , authoritative rule of faith and conduct '' .","`` the scriptures , both old and new testament , are verbally inspired of god and are the revelation of god to man , the infallible , authoritative rule of faith and ******* '' .", Good conduct is always appreciated., good ******* is always appreciated.
paste,3_science_LS1,tang comensarication crewovity draw or paste a picture of a,Tang comensarication crewovity draw or ***** a picture of a,It is not as convenient as the old type toothbrush and the paste tends to shimmy off the bristles .,It is not as convenient as the old type toothbrush and the ***** tends to shimmy off the bristles .,Use paste to stick paper.,Use ***** to stick paper.
feeding,3_science_LS1,have you scen a butterfly feeding on nectar,Have you scen a butterfly ******* on nectar,The Feeding of Birds is Prohibited in This square .,The ******* of birds is prohibited in this square .,Feeding time is at 6 PM.,******* time is at 6 pm.
tang,3_science_LS1,eget nt 1 55 critical tang comensarication crewovity draw or,Eget nt 1 55 critical **** comensarication crewovity draw or,The single-barrel Stevens 940Y ( under $35 ) is made with a side lever rather than a top-tang lever because many youngsters aren't strong enough to operate a top tang to open a gun -- and the side lever does indeed open very easily .,The single-barrel stevens 940y ( under $35 ) is made with a side lever rather than a top-**** lever because many youngsters aren't strong enough to operate a top **** to open a gun -- and the side lever does indeed open very easily ., Orange has a tangy taste., orange has a tangy taste.
how,3_science_LS1,blended learning 6 birdsour nests how bards oy feathered friends,Blended learning 6 birdsour nests *** bards oy feathered friends,He did not say by how much .,He did not say by *** much .,How do you do that?,*** do you do that?
summative,3_science_LS1,teachers to create formative or summative assessments worksheets for every,Teachers to create formative or ********* assessments worksheets for every,No example sentence found.,No example sentence found., The test was summative., the test was *********.
organ,3_science_LS1,discuss different organ systems,Discuss different ***** systems,Mary Dobbs Tuttle was back at the organ .,Mary dobbs tuttle was back at the ***** .,The heart is an important organ.,The heart is an important *****.
explain,3_science_LS1,explain different types of beaks,******* different types of beaks,"The United States , State Department officials explain , now is mainly interested in setting up an international inspection system which will prevent Laos from being used as a base for Communist attacks on neighboring Thailand and South Viet Nam .","The united states , state department officials ******* , now is mainly interested in setting up an international inspection system which will prevent laos from being used as a base for communist attacks on neighboring thailand and south viet nam .",Please explain the story.,Please ******* the story.
someone,3_science_LS1,want to tell you if someone something,Want to tell you if ******* something,"Speaking of `` pride '' , he deplored the noncommissioned officer `` whose uniform looks like it belonged to someone who retired in 1940 ; ;","Speaking of `` pride '' , he deplored the noncommissioned officer `` whose uniform looks like it belonged to ******* who retired in 1940 ; ;",Someone knocked on the door.,******* knocked on the door.
bees,3_science_LS1,bees also feed on ihe,**** also feed on ihe,"ripe pears lying in long grass , to be turned over by a dusty-slippered foot , cautiously , lest bees still worked in the ragged , brown-edged holes ; ;","Ripe pears lying in long grass , to be turned over by a dusty-slippered foot , cautiously , lest **** still worked in the ragged , brown-edged holes ; ;", Bees make honey in hives., **** make honey in hives.
ashamed,3_science_LS1,not feel scared guilty or ashamed will speak to this,Not feel scared guilty or ******* will speak to this,They insist they are ashamed of such violence and intimidation as occurred in Alabama when the Freedom Riders sought to break down racial discrimination in local bus depots .,They insist they are ******* of such violence and intimidation as occurred in alabama when the freedom riders sought to break down racial discrimination in local bus depots ., He felt ashamed of his mistake., he felt ******* of his mistake.
os,3_science_LS1,r sn os ubuntu technology cannot replace,R sn ** ubuntu technology cannot replace,"Botulinal toxin , for example , is several thousand-fold more toxic by this route than when given per os .","Botulinal toxin , for example , is several thousand-fold more toxic by this route than when given per ** .", Windows is an operating system., windows is an operating system.
natural,3_science_LS1,air 116 unit v oh natural resources 11,Air 116 unit v oh ******* resources 11,"Natural gas public utility companies would be given the right of eminent domain , under a bill by Sen. Frank Owen 3 , of El Paso , to acquire sites for underground storage reservoirs for gas .","******* gas public utility companies would be given the right of eminent domain , under a bill by sen. frank owen 3 , of el paso , to acquire sites for underground storage reservoirs for gas .",It's a natural rock formation.,It's a ******* rock formation.
drape,3_science_LS1,o drape ar pap aaa arate,O ***** ar pap aaa arate,No example sentence found.,No example sentence found., The curtain will drape the window., the curtain will ***** the window.
alure,3_science_LS1,different creative modes balance in alure the activities inthis book,Different creative modes balance in ***** the activities inthis book,No example sentence found.,No example sentence found., The glittering jewels had allure., the glittering jewels had allure.
lesson,3_science_LS1,strategies to successfully handle a lesson at hand,Strategies to successfully handle a ****** at hand,"Rather than viewing the abortive recovery in 1959-60 as a reason for believing we have lost prospects for growth '' , he said `` it should be viewed as a lesson well learned which will increase the probability of substantial improvement in this recovery '' .","Rather than viewing the abortive recovery in 1959-60 as a reason for believing we have lost prospects for growth '' , he said `` it should be viewed as a ****** well learned which will increase the probability of substantial improvement in this recovery '' .",Math lesson starts at nine.,Math ****** starts at nine.
technology,3_science_LS1,r sn os ubuntu technology cannot replace the teacher,R sn os ubuntu ********** cannot replace the teacher,"In addition , Dr. Clark has studied at Rhode Island State College and Massachusetts Institute of Technology .","In addition , dr. clark has studied at rhode island state college and massachusetts institute of ********** .", Phones use advanced technology., phones use advanced **********.
walter,3_science_LS1,walter spot the error precio,****** spot the error precio,"-- James P. Mitchell and Sen. Walter H. Jones R-Bergen , last night disagreed on the value of using as a campaign issue a remark by Richard J. Hughes , Democratic gubernatorial candidate , that the GOP is `` Campaigning on the carcass of Eisenhower Republicanism '' .","-- james p. mitchell and sen. ****** h. jones r-bergen , last night disagreed on the value of using as a campaign issue a remark by richard j. hughes , democratic gubernatorial candidate , that the gop is `` campaigning on the carcass of eisenhower republicanism '' .", Walter is my friend's name., ****** is my friend's name.
well,3_science_LS1,performed in a book as well as the number of,Performed in a book as **** as the number of,"The grand jury commented on a number of other topics , among them the Atlanta and Fulton County purchasing departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of both governments '' .","The grand jury commented on a number of other topics , among them the atlanta and fulton county purchasing departments which it said `` are **** operated and follow generally accepted practices which inure to the best interest of both governments '' .",I hope you feel well.,I hope you feel ****.
virtual,3_science_LS1,be it quizzes assessments or virtual classrooms one can access,Be it quizzes assessments or ******* classrooms one can access,"Since the hero , a sterling and upright fellow , is a rich Brown senior , while two Yalies are cast as virtual rapists , I suppose I should disqualify myself from sitting in judgment on `` Where The Boys Are '' , but I shall do nothing of the sort .","Since the hero , a sterling and upright fellow , is a rich brown senior , while two yalies are cast as ******* rapists , i suppose i should disqualify myself from sitting in judgment on `` where the boys are '' , but i shall do nothing of the sort .",We had a virtual class today.,We had a ******* class today.
necklace,3_science_LS1,cevrext a you have a necklace made of red and,Cevrext a you have a ******** made of red and,"About all that remains to be said is that the present selection , most of which appeared first in The New Yorker , comprises ( as usual ) a slightly unstrung necklace , held together by little more than a slender thread cunningly inserted in the spine of the book .","About all that remains to be said is that the present selection , most of which appeared first in the new yorker , comprises ( as usual ) a slightly unstrung ******** , held together by little more than a slender thread cunningly inserted in the spine of the book .", She wore a shiny necklace., she wore a shiny ********.
activity,3_science_LS1,tasks to engage learners ee activity to aid in experiential,Tasks to engage learners ee ******** to aid in experiential,There has been more activity across the state line in Massachusetts than in Rhode Island in recent weeks toward enforcement of the Sunday sales laws .,There has been more ******** across the state line in massachusetts than in rhode island in recent weeks toward enforcement of the sunday sales laws .,Drawing is a fun activity.,Drawing is a fun ********.
butterfly,3_science_LS1,diaries have you scen a butterfly feeding on nectar,Diaries have you scen a ********* feeding on nectar,Ann thrilled to the sight of a delicate butterfly and two strange tropical birds .,Ann thrilled to the sight of a delicate ********* and two strange tropical birds ., A butterfly has colorful wings., a ********* has colorful wings.
succeed,3_science_LS1,essential tools for leamers to succeed in todays globalised world,Essential tools for leamers to ******* in todays globalised world,"Dr. Clark will succeed Dr. J. R. McLemore , who will retire at the close of the present school term .","Dr. clark will ******* dr. j. r. mclemore , who will retire at the close of the present school term .", Try hard and you will succeed., try hard and you will *******.
be,3_science_LS1,in the journey of education be it learners parents teachers,In the journey of education ** it learners parents teachers,"However , the jury said it believes `` these two offices should be combined to achieve greater efficiency and reduce the cost of administration '' .","However , the jury said it **lieves `` these two offices should ** combined to achieve greater efficiency and reduce the cost of administration '' .",I want to be a doctor.,I want to ** a doctor.
ara,3_science_LS1,natalee and answer do oust ara eset comprehension questions hots,Natalee and answer do oust *** eset comprehension questions hots,No example sentence found.,No example sentence found., Ara is a type of bird., *** is a type of bird.
dome,3_science_LS1,prato aod taenge kamhart 0 dome on come ot ah,Prato aod taenge kamhart 0 **** on come ot ah,"A horizon even and seamless , binding the vast sun-bleached dome of sky to earth .","A horizon even and seamless , binding the vast sun-bleached **** of sky to earth .", The building had a dome., the building had a ****.
stomach,3_science_LS1,the heart stomach kidneys lungs and brain,The heart ******* kidneys lungs and brain,"`` The man was bent over with his hand on his stomach '' , Berry said .","`` the man was bent over with his hand on his ******* '' , berry said .",My stomach is growling.,My ******* is growling.
login,3_science_LS1,please login to mee using the,Please ***** to mee using the,No example sentence found.,No example sentence found., Enter your username to login., enter your username to *****.
even,3_science_LS1,of been on the lath even before the appearance of,Of been on the lath **** before the appearance of,Karns said that the cases involved a matter `` of even greater significance than the guilt or innocence '' of the 50 persons .,Karns said that the cases involved a matter `` of **** greater significance than the guilt or innocence '' of the 50 persons .,Even numbers are easy to count.,**** numbers are easy to count.
at,3_science_LS1,to successfully handle a lesson at hand,To successfully handle a lesson ** hand,The grand jury took a swipe at the State Welfare Department's handling of federal funds granted for child welfare services in foster homes .,The grand jury took a swipe ** the st**e welfare department's handling of federal funds granted for child welfare services in foster homes .,I look at the stars.,I look ** the stars.
little,3_science_LS1,vessels the heart is a little larger than the size,Vessels the heart is a ****** larger than the size,But questions with which committee members taunted bankers appearing as witnesses left little doubt that they will recommend passage of it .,But questions with which committee members taunted bankers appearing as witnesses left ****** doubt that they will recommend passage of it .,My sister is a little baby.,My sister is a ****** baby.
quietly,3_science_LS1,page nummber 15 e sit quietly at a place,Page nummber 15 e sit ******* at a place,"Inheriting a more mature Mantle , who now has seen the sights on and off Broadway , Ralph Houk quietly bestowed , no pun intended , the mantle of authority on Mickey .","Inheriting a more mature mantle , who now has seen the sights on and off broadway , ralph houk ******* bestowed , no pun intended , the mantle of authority on mickey .", Please sit quietly during class., please sit ******* during class.
inquiry,3_science_LS1,encourage leamers to perform simple inquiry related to questions independently,Encourage leamers to perform simple ******* related to questions independently,Their demand against the Calvinist Orthodoxy for intellectual liberty had never meant that they would follow `` free inquiry '' to the extreme of proclaiming Christianity a `` natural '' religion .,Their demand against the calvinist orthodoxy for intellectual liberty had never meant that they would follow `` free ******* '' to the extreme of proclaiming christianity a `` natural '' religion ., We made an inquiry at the office., we made an ******* at the office.
an,3_science_LS1,mee is an online education hub that,Mee is ** online education hub that,The Fulton County Grand Jury said Friday an investigation of Atlanta's recent primary election produced `` no evidence '' that any irregularities took place .,The fulton county gr**d jury said friday ** investigation of atl**ta's recent primary election produced `` no evidence '' that **y irregularities took place .,I saw an elephant.,I saw ** eleph**t.
vision,3_science_LS1,a eae z the vision of the as ee,A eae z the ****** of the as ee,"To step up the denomination's program , the Rev. Mr. Brandt suggested the vision of 8,000 new Assemblies of God churches in the next 10 years .","To step up the denomination's program , the rev. mr. brandt suggested the ****** of 8,000 new assemblies of god churches in the next 10 years .", Glasses help improve vision., glasses help improve ******.
living,3_science_LS1,a we world around us living and nonliving things 35,A we world around us ****** and non****** things 35,"Extension of the ADC program to all children in need living with any relatives , including both parents , as a means of preserving family unity .","Extension of the adc program to all children in need ****** with any relatives , including both parents , as a means of preserving family unity .",Fish are living creatures.,Fish are ****** creatures.
foundation,3_science_LS1,and skills that build the foundation for lifelong learning,And skills that build the ********** for lifelong learning,"`` We are back with the ' Met ' again now that the ' Met ' is back in Chicago '' , bulletins Mrs. Frank S. Sims , president of the women's board of the University of Chicago Cancer Research Foundation .","`` we are back with the ' met ' again now that the ' met ' is back in chicago '' , bulletins mrs. frank s. sims , president of the women's board of the university of chicago cancer research ********** .", Houses need a strong foundation., houses need a strong **********.
poem,3_science_LS1,food ralanced diet read a poem on proteing complete the,Food ralanced diet read a **** on proteing complete the,"The Franck symphonic poem , `` Psyche '' , is a lush , sweet-sounding affair that was pleasant to encounter once again .","The franck symphonic **** , `` psyche '' , is a lush , sweet-sounding affair that was pleasant to encounter once again .",She wrote a beautiful poem.,She wrote a beautiful ****.
label,3_science_LS1,label different body parts of,***** different body parts of,"Design elements closely rooted to traditional forms but wearing a definite contemporary label keynote Drexel's fall 1961 group , Composite .","Design elements closely rooted to traditional forms but wearing a definite contemporary ***** keynote drexel's fall 1961 group , composite .", Write your name on the label., write your name on the *****.
oh,3_science_LS1,air 116 unit v oh natural resources 11,Air 116 unit v ** natural resources 11,"Oh , no-o ! !","** , no-o ! !","Oh, it's raining outside!","**, it's raining outside!"
teddy,3_science_LS1,cards and teddy bears use this red,Cards and ***** bears use this red,"It is perhaps difficult to conceive , but imagine that tonight on London bridge the Teddy boys of the East End will gather to sing Marlowe , Herrick , Shakespeare , and perhaps some lyrics of their own .","It is perhaps difficult to conceive , but imagine that tonight on london bridge the ***** boys of the east end will gather to sing marlowe , herrick , shakespeare , and perhaps some lyrics of their own .", She hugged her teddy bear., she hugged her ***** bear.
been,3_science_LS1,identity he natonal enema of been on the lath even,Identity he natonal enema of **** on the lath even,The September-October term jury had been charged by Fulton Superior Court Judge Durwood Pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won by Mayor-nominate Ivan Allen Jr. .,The september-october term jury had **** charged by fulton superior court judge durwood pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won by mayor-nominate ivan allen jr. .,I have been to the zoo.,I have **** to the zoo.
experiential,3_science_LS1,ee activity to aid in experiential learning significant learning outcomes,Ee activity to aid in ************ learning significant learning outcomes,"Demons , fairies , angels , and a host of other spiritual beings were as much a part of the experiential world of western man as were rocks and trees and stars .","Demons , fairies , angels , and a host of other spiritual beings were as much a part of the ************ world of western man as were rocks and trees and stars .", Learning by doing is experiential., learning by doing is ************.
let,3_science_LS1,let us learn about the,*** us learn about the,"The bond issue will go to the state courts for a friendly test suit to test the validity of the act , and then the sales will begin and contracts let for repair work on some of Georgia's most heavily traveled highways .","The bond issue will go to the state courts for a friendly test suit to test the validity of the act , and then the sales will begin and contracts *** for repair work on some of georgia's most heavily traveled highways .",Let's play tag at recess.,***'s play tag at recess.
house,3_science_LS1,treasure projectbased learning bring back house sparrows assessment model test,Treasure projectbased learning bring back ***** sparrows assessment model test,Schley County Rep. B. D. Pelham will offer a resolution Monday in the House to rescind the body's action of Friday in voting itself a $10 per day increase in expense allowances .,Schley county rep. b. d. pelham will offer a resolution monday in the ***** to rescind the body's action of friday in voting itself a $10 per day increase in expense allowances .,My house is yellow.,My ***** is yellow.
which,3_science_LS1,that offers schools a platform which they can easily adapt,That offers schools a platform ***** they can easily adapt,"The jury further said in term-end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .","The jury further said in term-end presentments that the city executive committee , ***** had over-all charge of the election , `` deserves the praise and thanks of the city of atlanta '' for the manner in ***** the election was conducted .",Which color do you like?,***** color do you like?
blowing,3_science_LS1,inflate a balloon by blowing air into it,Inflate a balloon by ******* air into it,"And one cannot but wonder whether Marshal Malinovsky , who was blowing hot and cold , exalting peace but also almost openly considering the possibility of preventive war against the West , wasn't trying to keep the Chinese quiet .","And one cannot but wonder whether marshal malinovsky , who was ******* hot and cold , exalting peace but also almost openly considering the possibility of preventive war against the west , wasn't trying to keep the chinese quiet .", Wind is blowing outside., wind is ******* outside.
leam,3_science_LS1,findings through different creative modes leam about venation know the,Findings through different creative modes **** about venation know the,No example sentence found.,No example sentence found., Leam means to learn., **** means to learn.
wite,3_science_LS1,er aks ean of water wite yes or no en,Er aks ean of water **** yes or no en,No example sentence found.,No example sentence found., Wite is a color., **** is a color.
sparrow,3_science_LS1,4 media literacy the house sparrow is a small browncoloured,4 media literacy the house ******* is a small browncoloured,No example sentence found.,No example sentence found., A sparrow chirps in the garden., a ******* chirps in the garden.
thing,3_science_LS1,system what is the first thing that we will make,System what is the first ***** that we will make,"House Speaker Sam Rayburn ( D. , Tex. ) called the Kennedy program `` a mighty fine thing '' , but made no prediction on its fate in the House .","House speaker sam rayburn ( d. , tex. ) called the kennedy program `` a mighty fine ***** '' , but made no prediction on its fate in the house .",What is that thing?,What is that *****?
between,3_science_LS1,pictures cg1cg5cg7 c121 describes relationship between force and motion whatcanforce,Pictures cg1cg5cg7 c121 describes relationship ******* force and motion whatcanforce,"It would authorize the Texas Education Agency to establish county-wide day schools for the deaf in counties of 300,000 or more population , require deaf children between 6 and 13 years of age to attend the day schools , permitting older ones to attend the residential Texas School for the Deaf here .","It would authorize the texas education agency to establish county-wide day schools for the deaf in counties of 300,000 or more population , require deaf children ******* 6 and 13 years of age to attend the day schools , permitting older ones to attend the residential texas school for the deaf here .",The park is between two buildings.,The park is ******* two buildings.
adapt,3_science_LS1,platform which they can easily adapt to,Platform which they can easily ***** to,A mother can help a child adapt to his difficulties .,A mother can help a child ***** to his difficulties ., Animals adapt to their environment., animals ***** to their environment.
connect,3_science_LS1,as they help us to connect with the outside world,As they help us to ******* with the outside world,"Other witnesses , after appearances before the jury , which reportedly is probing into possible income tax violations , disclosed that government prosecutors were attempting to connect Stein and his company with a number of gangsters , including Glimco and Alex .","Other witnesses , after appearances before the jury , which reportedly is probing into possible income tax violations , disclosed that government prosecutors were attempting to ******* stein and his company with a number of gangsters , including glimco and alex .",Connect the dots to see the picture.,******* the dots to see the picture.
state,3_science_LS1,learners will be able tor state where birds live,Learners will be able tor ***** where birds live,The grand jury took a swipe at the State Welfare Department's handling of federal funds granted for child welfare services in foster homes .,The grand jury took a swipe at the ***** welfare department's handling of federal funds granted for child welfare services in foster homes .,I live in the state of Texas.,I live in the ***** of texas.
world,3_science_LS1,introduces you to a new world of blended learning altura,Introduces you to a new ***** of blended learning altura,But with the months moving on -- and the immediate confrontations with the Communists showing no gain for the free world -- the question arises :,But with the months moving on -- and the immediate confrontations with the communists showing no gain for the free ***** -- the question arises :,The world is big.,The ***** is big.
circulatory,3_science_LS1,respiratory system sense organs i circulatory system excretory system reproductive,Respiratory system sense organs i *********** system excretory system reproductive,"They suspect it plays a role in the production of adrenal hormones , and they believe it is essential to the transport of fats throughout the circulatory system .","They suspect it plays a role in the production of adrenal hormones , and they believe it is essential to the transport of fats throughout the *********** system .",The heart helps circulatory system.,The heart helps *********** system.
chapter,3_science_LS1,quizzes and challenges for each chapter for learners selfpractice test,Quizzes and challenges for each ******* for learners selfpractice test,"With the announcement of a `` special achievement award '' to William A. ( ( Bill ) Shea , the awards list was completed yesterday for Sunday night's thirty-eighth annual dinner and show of the New York Chapter , Baseball Writers' Association of America , at the Waldorf-Astoria Hotel .","With the announcement of a `` special achievement award '' to william a. ( ( bill ) shea , the awards list was completed yesterday for sunday night's thirty-eighth annual dinner and show of the new york ******* , baseball writers' association of america , at the waldorf-astoria hotel .",Let's read the next chapter.,Let's read the next *******.
look,3_science_LS1,look at what your classmates,**** at what your classmates,"-- At a gay party in the Kremlin for President Sukarno of Indonesia , Premier Khrushchev pulled out his pockets and said , beaming : `` Look , he took everything I had '' ! !","-- at a gay party in the kremlin for president sukarno of indonesia , premier khrushchev pulled out his pockets and said , beaming : `` **** , he took everything i had '' ! !",Look at the pretty flowers.,**** at the pretty flowers.
framework,3_science_LS1,to the latest national curriculum framework for school education tcomprisesarich,To the latest national curriculum ********* for school education tcomprisesarich,"There is no framework or structure of thought with respect to which we can organize it and no part of reality , as we know and apprehend it , with respect to which we can refer this experience .","There is no ********* or structure of thought with respect to which we can organize it and no part of reality , as we know and apprehend it , with respect to which we can refer this experience .",The framework of our project is solid.,The ********* of our project is solid.
pi,3_science_LS1,make a pinwheel alk al pi paragrap 10,Make a **nwheel alk al ** paragrap 10,"Her husband , who is the son of Alton John Mason of Shreveport , La. , and the late Mrs. Henry Cater Parmer , was president of Alpha Tau Omega and a member of Delta Sigma Pi at Lamar Tech , and did graduate work at Rhodes University in Grahamstown , South Africa , on a Rotary Fellowship .","Her husband , who is the son of alton john mason of shreveport , la. , and the late mrs. henry cater parmer , was president of alpha tau omega and a member of delta sigma ** at lamar tech , and did graduate work at rhodes university in grahamstown , south africa , on a rotary fellowship .", Pi is a mathematical constant., ** is a mathematical constant.
with,3_science_LS1,interactivities along withacomprehensive learning platform with a range of options,Interactivities along ****acomprehensive learning platform **** a range of options,"`` This is one of the major items in the Fulton County general assistance program '' , the jury said , but the State Welfare Department `` has seen fit to distribute these funds through the welfare departments of all the counties in the state with the exception of Fulton County , which receives none of this money .","`` this is one of the major items in the fulton county general assistance program '' , the jury said , but the state welfare department `` has seen fit to distribute these funds through the welfare departments of all the counties in the state **** the exception of fulton county , which receives none of this money .",I will go with you.,I will go **** you.
