dict_matched_filtered_words,openai_sentence,masked_openai_sentence
classroom, Our classroom is on the second floor., our ********* is on the second floor.
psychomotor, My dance class improves psychomotor skills., my dance class improves *********** skills.
bouquet, Mom received a beautiful bouquet., mom received a beautiful *******.
hoon," ""Hoon"" might be complex; can refer to fast driving."," ""****"" might be complex; can refer to fast driving."
analytics, Dad uses analytics at work., dad uses ********* at work.
injury, I got an injury during soccer., i got an ****** during soccer.
FALSE, Saying the sky is green is false., saying the sky is green is *****.
seer, A seer can predict the future., a **** can predict the future.
riddle, I love solving a good riddle., i love solving a good ******.
birthday, My birthday party is on Saturday., my ******** party is on saturday.
becoming, She is becoming a great artist., she is ******** a great artist.
conceptual, We learned conceptual art in class., we learned ********** art in class.
efficiently, Mom packed the suitcase efficiently., mom packed the suitcase ***********.
manage, I can manage my own homework., i can ****** my own homework.
curriculum, Our school follows a new curriculum., our school follows a new **********.
collaboration, Collaboration makes the project easier., ************* makes the project easier.
saga, Grandpa told us an ancient saga., grandpa told us an ancient ****.
net, We caught butterflies with a net., we caught butterflies with a ***.
usage, The teacher explained the usage of words., the teacher explained the ***** of words.
bath, I take a bath before bed., i take a **** before bed.
blended, We blended fruits for a smoothie., we ******* fruits for a smoothie.
odd, I saw an odd number of ducks., i saw an *** number of ducks.
irrespective, We play outside irrespective of the weather., we play outside ************ of the weather.
nave, The church nave was very large., the church **** was very large.
improvement, I see improvement in your writing., i see *********** in your writing.
commune, We will commune with nature on our hike., we will ******* with nature on our hike.
practical, We did practical experiments in science., we did ********* experiments in science.
watch, I will watch a movie tonight., i will ***** a movie tonight.
beautifully, She sang beautifully in the concert., she sang *********** in the concert.
pride, I take pride in my artwork., i take ***** in my artwork.
breeding, Dad talked about dog breeding., dad talked about dog ********.
never, I never saw a shooting star., i ***** saw a shooting star.
insert, Please insert your paper here., please ****** your paper here.
precious, My teddy bear is precious to me., my teddy bear is ******** to me.
salad, Mom made a cucumber salad., mom made a cucumber *****.
gen," ""Gen"" can refer to generation or general."," ""***"" can refer to ***eration or ***eral."
throw, I can throw the ball far., i can ***** the ball far.
inflate, We inflate balloons for parties., we ******* balloons for parties.
telling, Telling stories is fun at night., ******* stories is fun at night.
theft, Theft is taking something that's not yours., ***** is taking something that's not yours.
lath," ""Lath"" might be complex; could refer to construction."," ""****"" might be complex; could refer to construction."
tongue, My cat's tongue feels rough., my cat's ****** feels rough.
dependency, Baby birds have a dependency on their mom., baby birds have a ********** on their mom.
promote, We promote kindness in our class., we ******* kindness in our class.
wreak, The storm can wreak havoc., the storm can ***** havoc.
refer, Please refer to the book page., please ***** to the book page.
assist, Can you assist me with this puzzle?, can you ****** me with this puzzle?
bead, I made a necklace with a bead., i made a necklace with a ****.
improve, I want to improve my drawing., i want to ******* my drawing.
diversity, Our school celebrates diversity., our school celebrates *********.
peace, I wish for world peace., i wish for world *****.
june, My brother's birthday is in June., my brother's birthday is in ****.
junk, We should clean up the junk., we should clean up the ****.
TRUE, It is true that water is wet., it is **** that water is wet.
locality, Our locality has a new park., our ******** has a new park.
meaningful, The movie had a meaningful message., the movie had a ********** message.
park, We play at the park every day., we play at the **** every day.
allocate, Mom will allocate chores to us., mom will ******** chores to us.
cucumber, I like cucumber in my salad., i like ******** in my salad.
frame, We put the picture in a frame., we put the picture in a *****.
actual, The actual story was different., the ****** story was different.
generator, The generator powers our house., the ********* powers our house.
homework, I do my homework after school., i do my ******** after school.
ha," ""Ha"" can express surprise or laughter."," ""**"" can express surprise or laughter."
access, I have access to many books., i have ****** to many books.
