dict_matched_filtered_words,sentence,cleaned_sentence,chunked_sentence
original,"In Activity 2, you must have first taken the original necklace apart, separated
the beads according to their colour and then made the two new necklaces.",In Activity 2 you must have first taken the original necklace apart separated the beads according to their colour and then made the two new necklaces,must have first taken the original necklace apart separated the
bird,"© label different body

| parts of » bird.", label different body   parts of  bird,label different body parts of bird
initiative,"With this focus on creating future-ready leamers,
Altura integrates a range of 21st century skills with the course content to develop higher order
thinking skills, such as critical and creative thinking; literacy skills such as information, media and
technology skills; and life skills such as leadership, initiative and productivity skills.",With this focus on creating futureready leamers Altura integrates a range of 21st century skills with the course content to develop higher order thinking skills such as critical and creative thinking literacy skills such as information media and technology skills and life skills such as leadership initiative and productivity skills,life skills such as leadership initiative and productivity skills
guide,"Guide them to research
© create ewarenem about the
ihe the reasons for the decrease in the poputation of house
| eet Sparrows in India, Also.",Guide them to research  create ewarenem about the ihe the reasons for the decrease in the poputation of house  eet Sparrows in India Also,guide them to research create
you,"

Page nummber: 1
ABOUT Altura

Macmillan Education introduces you to a new world of blended learning, Altura = Advancing Learning
and Teaching Using Resources and Assessments, Offering a 360-degree holistic approach to education,
Altura combines smartly designed learning resources that are aligned to the latest National Curriculum
Framework for School Education, |tcomprisesarich suite of digital interactivities, along withacomprehensive
learning platform, with a range of options and strategies to successfully handle a lesson at hand.",  Page nummber 1 ABOUT Altura  Macmillan Education introduces you to a new world of blended learning Altura  Advancing Learning and Teaching Using Resources and Assessments Offering a 360degree holistic approach to education Altura combines smartly designed learning resources that are aligned to the latest National Curriculum Framework for School Education tcomprisesarich suite of digital interactivities along withacomprehensive learning platform with a range of options and strategies to successfully handle a lesson at hand,about altura macmillan education introduces you to a new world
support,"MEE is an online education hub that provides a large and indispensable set of features to support
educational activities such as classroom learning and distance education.",MEE is an online education hub that provides a large and indispensable set of features to support educational activities such as classroom learning and distance education,indispensable set of features to support educational activities such as
media,"11> , Mint Century Skla/
UM obisb iil ah ey )®aj continuous and igahne G veo rres
\ i it 5 + Colaborssoe Rls advisable that ©
4 , | i] | |comprehensive cpm Stcasanrerectanmress
| 4 ; STAT assessments in the Wictagtedlaes 1) gi ORIN
BY a ay | 3 + Information Laeracy | Background knowledge
i I UARrAnrae| UM ARTUR cognitive, affective and Becevcoind
if i U J 4 : = Media Literacy The house sparrow is a small brown-coloured bird wath
i psychomotor domains to come tac eras ont bec th bow hr

seeds, bul in the breeding season, adits feed thelr young
+ Language + Exgorerng ones with Insects.",11  Mint Century Skla UM obisb iil ah ey aj continuous and igahne G veo rres  i it 5  Colaborssoe Rls advisable that  4   i  comprehensive cpm Stcasanrerectanmress  4  STAT assessments in the Wictagtedlaes 1 gi ORIN BY a ay  3  Information Laeracy  Background knowledge i I UARrAnrae UM ARTUR cognitive affective and Becevcoind if i U J 4   Media Literacy The house sparrow is a small browncoloured bird wath i psychomotor domains to come tac eras ont bec th bow hr  seeds bul in the breeding season adits feed thelr young  Language  Exgorerng ones with Insects,if i u j 4 media literacy the house sparrow
go,"oe

¥

Pa

Do you know snakes Go net have Umbs?",oe    Pa  Do you know snakes Go net have Umbs,pa do you know snakes go net have umbs
conduct,"guide them to conduct @ survey in
thew locality end find out if the house sparrows were seen
pact id hee in he locality carter

3G0-DEGREE HOLISTIC |< peers renee terns
| PROGRESS CARD

= ehihlt eensttviry towards the On the survival of house sparrows.",guide them to conduct  survey in thew locality end find out if the house sparrows were seen pact id hee in he locality carter  3G0DEGREE HOLISTIC  peers renee terns  PROGRESS CARD   ehihlt eensttviry towards the On the survival of house sparrows,guide them to conduct survey in thew locality
paste,"infer the importance of nests © compare the body parts of a
| flghthess bird with a bird hat Men

(Werm-up)° Na eget nt 1 55 * Critical Tang Comensarication © CrewOvity >=
Draw or paste a picture
of a bird that you have
een.",infer the importance of nests  compare the body parts of a  flghthess bird with a bird hat Men  Wermup Na eget nt 1 55  Critical Tang Comensarication  CrewOvity  Draw or paste a picture of a bird that you have een,tang comensarication crewovity draw or paste a picture of a
feeding,"{tasks to develop knowledge, understanding and practical
skills through a study of interconnected topics

ANIMAL DIARIES

Have you scen a butterfly feeding on nectar?",tasks to develop knowledge understanding and practical skills through a study of interconnected topics  ANIMAL DIARIES  Have you scen a butterfly feeding on nectar,have you scen a butterfly feeding on nectar
tang,"infer the importance of nests © compare the body parts of a
| flghthess bird with a bird hat Men

(Werm-up)° Na eget nt 1 55 * Critical Tang Comensarication © CrewOvity >=
Draw or paste a picture
of a bird that you have
een.",infer the importance of nests  compare the body parts of a  flghthess bird with a bird hat Men  Wermup Na eget nt 1 55  Critical Tang Comensarication  CrewOvity  Draw or paste a picture of a bird that you have een,eget nt 1 55 critical tang comensarication crewovity draw or
how,"They slither, af

ee i th aS a x6

CONCEPTS 9

explained in lucid language,
supported with accurate
illustrations/photographs

COMPETENCY-BASED ASSESSMENTS

test higher-order skills, such as analysing,
Critical thinking, and conceptual clarity

ART-INTEGRATED
LEARNING

to promote learning and development, and

DIGITAL ASSETS

digital assets embedded to
promote blended learning

6 BirdsOur

nests how bards Oy

Feathered Friends

[uesson scuema F /
: Gflerert birds around va body pws
/



LEARNING OUTCOMES

At the end of this lesson, the learners will be able tor

© state where birds live.",They slither af  ee i th aS a x6  CONCEPTS 9  explained in lucid language supported with accurate illustrationsphotographs  COMPETENCYBASED ASSESSMENTS  test higherorder skills such as analysing Critical thinking and conceptual clarity  ARTINTEGRATED LEARNING  to promote learning and development and  DIGITAL ASSETS  digital assets embedded to promote blended learning  6 BirdsOur  nests how bards Oy  Feathered Friends  uesson scuema F   Gflerert birds around va body pws     LEARNING OUTCOMES  At the end of this lesson the learners will be able tor   state where birds live,blended learning 6 birdsour nests how bards oy feathered friends
media,"11> , Mint Century Skla/
UM obisb iil ah ey )®aj continuous and igahne G veo rres
\ i it 5 + Colaborssoe Rls advisable that ©
4 , | i] | |comprehensive cpm Stcasanrerectanmress
| 4 ; STAT assessments in the Wictagtedlaes 1) gi ORIN
BY a ay | 3 + Information Laeracy | Background knowledge
i I UARrAnrae| UM ARTUR cognitive, affective and Becevcoind
if i U J 4 : = Media Literacy The house sparrow is a small brown-coloured bird wath
i psychomotor domains to come tac eras ont bec th bow hr

seeds, bul in the breeding season, adits feed thelr young
+ Language + Exgorerng ones with Insects.",11  Mint Century Skla UM obisb iil ah ey aj continuous and igahne G veo rres  i it 5  Colaborssoe Rls advisable that  4   i  comprehensive cpm Stcasanrerectanmress  4  STAT assessments in the Wictagtedlaes 1 gi ORIN BY a ay  3  Information Laeracy  Background knowledge i I UARrAnrae UM ARTUR cognitive affective and Becevcoind if i U J 4   Media Literacy The house sparrow is a small browncoloured bird wath i psychomotor domains to come tac eras ont bec th bow hr  seeds bul in the breeding season adits feed thelr young  Language  Exgorerng ones with Insects,if i u j 4 media literacy the house sparrow
summative,"These include components like Animations, Teaching Videos, Warm-up
Activities, Cross-curricular Activities, Quizzes and Challenges for each chapter for learners selfpractice;
Test Generator for teachers to create Formative or Summative Assessments; Worksheets for every chapter,
Glossary, and much more.",These include components like Animations Teaching Videos Warmup Activities Crosscurricular Activities Quizzes and Challenges for each chapter for learners selfpractice Test Generator for teachers to create Formative or Summative Assessments Worksheets for every chapter Glossary and much more,teachers to create formative or summative assessments worksheets for every
organ,"> discuss different
organ systems.", discuss different organ systems,discuss different organ systems
explain,© explain different types of beaks © discuss about claws ond feathers., explain different types of beaks  discuss about claws ond feathers,explain different types of beaks
someone,"want to tell you If someone
something!",want to tell you If someone something,want to tell you if someone something
bees,Bees also feed on ihe = .,Bees also feed on ihe  ,bees also feed on ihe
ashamed,"Do not feel
scared, guilty or
ashamed, | will
speak to this
cousin.",Do not feel scared guilty or ashamed  will speak to this cousin,not feel scared guilty or ashamed will speak to this
os,"r- ;
Sn OS ubuntu

Technology cannot replace the teacher, but a teacher with the right technical tools can do wonders in the
class.",r  Sn OS ubuntu  Technology cannot replace the teacher but a teacher with the right technical tools can do wonders in the class,r sn os ubuntu technology cannot replace
natural,"Air 116
Unit V : oh
Natural Resources
11.",Air 116 Unit V  oh Natural Resources 11,air 116 unit v oh natural resources 11
drape,"o
drape ar pap aaa arate arrancones ay
legs to walk and run.",o drape ar pap aaa arate arrancones ay legs to walk and run,o drape ar pap aaa arate
alure,"Hors
C-44 Demonstrates how natural resources can be shared, maintained, and |* Interdependence |+ Draw lines to understand food chain
conserved + Food chain and and food web
C-4.5  \dentifies needs of birds and animals, and how they can be supported | food web Do it yourself: Poster
Ear |C-6.2 Presents observations and findings through different creative modes _|* Balance in alure
|The activities inthis book are aligned fo curricular goals and competencies 6.1, 7, and 7.2.",Hors C44 Demonstrates how natural resources can be shared maintained and  Interdependence  Draw lines to understand food chain conserved  Food chain and and food web C45  dentifies needs of birds and animals and how they can be supported  food web Do it yourself Poster Ear C62 Presents observations and findings through different creative modes  Balance in alure The activities inthis book are aligned fo curricular goals and competencies 61 7 and 72,different creative modes balance in alure the activities inthis book
lesson,"

Page nummber: 1
ABOUT Altura

Macmillan Education introduces you to a new world of blended learning, Altura = Advancing Learning
and Teaching Using Resources and Assessments, Offering a 360-degree holistic approach to education,
Altura combines smartly designed learning resources that are aligned to the latest National Curriculum
Framework for School Education, |tcomprisesarich suite of digital interactivities, along withacomprehensive
learning platform, with a range of options and strategies to successfully handle a lesson at hand.",  Page nummber 1 ABOUT Altura  Macmillan Education introduces you to a new world of blended learning Altura  Advancing Learning and Teaching Using Resources and Assessments Offering a 360degree holistic approach to education Altura combines smartly designed learning resources that are aligned to the latest National Curriculum Framework for School Education tcomprisesarich suite of digital interactivities along withacomprehensive learning platform with a range of options and strategies to successfully handle a lesson at hand,strategies to successfully handle a lesson at hand
technology,"r- ;
Sn OS ubuntu

Technology cannot replace the teacher, but a teacher with the right technical tools can do wonders in the
class.",r  Sn OS ubuntu  Technology cannot replace the teacher but a teacher with the right technical tools can do wonders in the class,r sn os ubuntu technology cannot replace the teacher
walter,"walter + Spot the error
precio .",walter  Spot the error precio ,walter spot the error precio
well,"A teacher can track the number of tasks a learner has performed in a book as well as
the number of attempts made for each.",A teacher can track the number of tasks a learner has performed in a book as well as the number of attempts made for each,performed in a book as well as the number of
virtual,"Be it quizzes, assessments or
virtual classrooms, one can access them all irrespective of the location, with the secure mobile App available
for both Android and iOS devices, or on a Windows Laptop.",Be it quizzes assessments or virtual classrooms one can access them all irrespective of the location with the secure mobile App available for both Android and iOS devices or on a Windows Laptop,be it quizzes assessments or virtual classrooms one can access
necklace,"\cevrext
a

You have a necklace made of red and black beads.",cevrext a  You have a necklace made of red and black beads,cevrext a you have a necklace made of red and
activity,"Our Environment 140
Environment
Learning by Doing: Cross-curricular Project-1 Saga
(Animal Diaries) :
Learning by Doing: Cross-curricular Project-2 Ase 13
(Water: A Precious Treasure) :
Project-based Learning (Bring Back House Sparrows)
Assessment: Model Test Paper-1 152-154
Assessment: Model Test Paper-2 155-1517)
r

360-degree Holistic Progress Card (Comprehensive) 158-160



Page nummber: 3
LEARNING OUTCOMES

WARM-UP

interactive tasks to
engage learners ee

ACTIVITY

to aid in
experiential
learning

significant learning outcomes
that the learners will achieve
on completion of the lesson

Living Things Move o
| eran
; \Y/ eontiome
!",Our Environment 140 Environment Learning by Doing Crosscurricular Project1 Saga Animal Diaries  Learning by Doing Crosscurricular Project2 Ase 13 Water A Precious Treasure  Projectbased Learning Bring Back House Sparrows Assessment Model Test Paper1 152154 Assessment Model Test Paper2 1551517 r  360degree Holistic Progress Card Comprehensive 158160    Page nummber 3 LEARNING OUTCOMES  WARMUP  interactive tasks to engage learners ee  ACTIVITY  to aid in experiential learning  significant learning outcomes that the learners will achieve on completion of the lesson  Living Things Move o  eran  Y eontiome ,tasks to engage learners ee activity to aid in experiential
butterfly,"{tasks to develop knowledge, understanding and practical
skills through a study of interconnected topics

ANIMAL DIARIES

Have you scen a butterfly feeding on nectar?",tasks to develop knowledge understanding and practical skills through a study of interconnected topics  ANIMAL DIARIES  Have you scen a butterfly feeding on nectar,diaries have you scen a butterfly feeding on nectar
succeed,"These have been
identified as essential tools for leamers to succeed in todays globalised world that is becoming
increasingly interconnected.",These have been identified as essential tools for leamers to succeed in todays globalised world that is becoming increasingly interconnected,essential tools for leamers to succeed in todays globalised world
be,"It has something to offer to all the stakeholders
involved in the journey of education, be it learners, parents, teachers, or principals.",It has something to offer to all the stakeholders involved in the journey of education be it learners parents teachers or principals,in the journey of education be it learners parents teachers
ara,"+ Understand force the sentence
+ Understand about the magnitude of + Tre ose
force to be applied q Natalee: and answer
Do oust Ara eset * Comprehension questions
+ HOTS
1 Observes and identifies it + Talk about + Complete the paragraph
C114 and that air is all around us * Properties and |+ Make a pinwheel alk al pI paragrap
10.", Understand force the sentence  Understand about the magnitude of  Tre ose force to be applied q Natalee and answer Do oust Ara eset  Comprehension questions  HOTS 1 Observes and identifies it  Talk about  Complete the paragraph C114 and that air is all around us  Properties and  Make a pinwheel alk al pI paragrap 10,natalee and answer do oust ara eset comprehension questions hots
dome,"O db ro

Page 32

Katomtet

Did denagee are cemnoely ward wo diferent art fren Hew 0 an custint of 6
peacock im Kalembon, » popsla art form of Aniiry Prato aod Taenge
Kamhart 0 dome on come ot ah fara wath 4 Gamarind pen, ey sae

Refer to he teserect and find out more aut Kalen Ad @ Oe outiow
wth ot

¥



Page nummber: 4
They shoot out the tongue to trip hasecta Thea they Fod beck the tongue into i CROSS-CURRICUL AR PROJECT

the mouth and swallow the food.",O db ro  Page 32  Katomtet  Did denagee are cemnoely ward wo diferent art fren Hew 0 an custint of 6 peacock im Kalembon  popsla art form of Aniiry Prato aod Taenge Kamhart 0 dome on come ot ah fara wath 4 Gamarind pen ey sae  Refer to he teserect and find out more aut Kalen Ad  Oe outiow wth ot      Page nummber 4 They shoot out the tongue to trip hasecta Thea they Fod beck the tongue into i CROSSCURRICUL AR PROJECT  the mouth and swallow the food,prato aod taenge kamhart 0 dome on come ot ah
stomach,"The heart, stomach, kidneys, lungs and brain are some internal organs.",The heart stomach kidneys lungs and brain are some internal organs,the heart stomach kidneys lungs and brain
login,Please login to MEE using the URL below and experience a new world of blended learning.,Please login to MEE using the URL below and experience a new world of blended learning,please login to mee using the
even,"Insert a straw | b Enews coensst need | ears ten Neng nou alee bare Anema Neve
straw-like mouth parts that help _| in the pace and suck
i

= Identity he natonal enema of | been on the Lath even before the appearance of human bewwps.",Insert a straw  b Enews coensst need  ears ten Neng nou alee bare Anema Neve strawlike mouth parts that help  in the pace and suck i   Identity he natonal enema of  been on the Lath even before the appearance of human bewwps,of been on the lath even before the appearance of
at,"

Page nummber: 1
ABOUT Altura

Macmillan Education introduces you to a new world of blended learning, Altura = Advancing Learning
and Teaching Using Resources and Assessments, Offering a 360-degree holistic approach to education,
Altura combines smartly designed learning resources that are aligned to the latest National Curriculum
Framework for School Education, |tcomprisesarich suite of digital interactivities, along withacomprehensive
learning platform, with a range of options and strategies to successfully handle a lesson at hand.",  Page nummber 1 ABOUT Altura  Macmillan Education introduces you to a new world of blended learning Altura  Advancing Learning and Teaching Using Resources and Assessments Offering a 360degree holistic approach to education Altura combines smartly designed learning resources that are aligned to the latest National Curriculum Framework for School Education tcomprisesarich suite of digital interactivities along withacomprehensive learning platform with a range of options and strategies to successfully handle a lesson at hand,to successfully handle a lesson at hand
little,"blood
vessels

The heart is a little

larger than the size
of your fist!",blood vessels  The heart is a little  larger than the size of your fist,vessels the heart is a little larger than the size
quietly,"Page nummber: 15
e Sit quietly at a place.",Page nummber 15 e Sit quietly at a place,page nummber 15 e sit quietly at a place
inquiry,"They encourage leamers to:
|+ perform simple inquiry related to questions, independently or in groups.",They encourage leamers to  perform simple inquiry related to questions independently or in groups,encourage leamers to perform simple inquiry related to questions independently
an,"MEE is an online education hub that provides a large and indispensable set of features to support
educational activities such as classroom learning and distance education.",MEE is an online education hub that provides a large and indispensable set of features to support educational activities such as classroom learning and distance education,mee is an online education hub that
lesson,"

Page nummber: 1
ABOUT Altura

Macmillan Education introduces you to a new world of blended learning, Altura = Advancing Learning
and Teaching Using Resources and Assessments, Offering a 360-degree holistic approach to education,
Altura combines smartly designed learning resources that are aligned to the latest National Curriculum
Framework for School Education, |tcomprisesarich suite of digital interactivities, along withacomprehensive
learning platform, with a range of options and strategies to successfully handle a lesson at hand.",  Page nummber 1 ABOUT Altura  Macmillan Education introduces you to a new world of blended learning Altura  Advancing Learning and Teaching Using Resources and Assessments Offering a 360degree holistic approach to education Altura combines smartly designed learning resources that are aligned to the latest National Curriculum Framework for School Education tcomprisesarich suite of digital interactivities along withacomprehensive learning platform with a range of options and strategies to successfully handle a lesson at hand,strategies to successfully handle a lesson at hand
vision,"a
eae Z| || the vision of the aS ee
Think end answer.",a eae Z  the vision of the aS ee Think end answer,a eae z the vision of the as ee
living,"https://mee.macmillaneducation.com/

Col = Beaks of beds
body Pats of Bled i} Gaz a
et ar reat dy a SIT a mtn immry oe

orm = es



Page nummber: 2
_ CHAPTER

| "" UNIT
Unit | pyiBody
The Human Body
The Food We Eat

Unit Il Pay: a :
we World Around Us.|>: Living and Non-Living Things 35
4.",httpsmeemacmillaneducationcom  Col  Beaks of beds body Pats of Bled i Gaz a et ar reat dy a SIT a mtn immry oe  orm  es    Page nummber 2  CHAPTER    UNIT Unit  pyiBody The Human Body The Food We Eat  Unit Il Pay a  we World Around Us Living and NonLiving Things 35 4,a we world around us living and nonliving things 35
foundation,"Page nummber: 6
21st CENTURY SKILLS

In the aist-century classroom, it is necessary to prepare learners for the abilities and skills that
build the foundation for lifelong learning.",Page nummber 6 21st CENTURY SKILLS  In the aistcentury classroom it is necessary to prepare learners for the abilities and skills that build the foundation for lifelong learning,and skills that build the foundation for lifelong learning
poem,"The house sparrow has been known to live in dose
contact with human deings, instead of foresta, For years,
Dy R has peace\sy coaxisted with us in our buldings and
Hy) Gardens, but in the last two decades, ther poputation has

assist learners understand
their strengths and

weaknesses, thereby take
remedial strategies to
improve learning

Page 159


Page nummber: 5
NEUE ANEF SENUE WEE ES POT TO NATTOOAT CUPP ECOTD PEAMOWOrRK TOP SCHOO
tducation 2024; Preparatory Stage

Chapter
Ke
Currioutat Compotoncion Cone ote Warm-up/Aativity Talk Exercises
Gaata
Ny (5-18 1 Dagatetite thee thartettienrotray at Phe eee opailavrik anid wreak Pree volag Siena atin fe lftentity parti ofa computer + Golveaa + Pillin the blanks
1 My aay {D4 Povmpotheane (hee Petree aeattety raeenete grec piritoeitiony pf Ba Nanas hewly Nanna badly + Plead, understand and anawerqueationa | riddle |* Correct the slalements
CO HOON CR) Deere sterile: tahaaste: anne parnatinee can aatily peed pieetetiony + Organs and |* Maka two neckiacad from ona + Tick the corract reason
re CRD Pegnmeeerste: ettimeeesonrticnrnn aarndl Mvetinagee Chivetagih lifted comative proces orn ayers + Solve the rddla * Comprahansion questions
 aren ree ie work |* Label the parts of the digestive
+ Spot the differances system
* Think and anawer * HOTS
Do it yourself Safaty
t Tehran Cb NekaritiPhens thetl fenead mcapgnente Prats een * Components of |+ Pleture-based laak fo understand how | + Talk about + Pill in the blanks ""
We Bat CPE Desscthan the relationaip Pasian faa and health hood food Is produced Junk food * Tick the corract option
UNS NS C2 eevee and clemorlten cuittural vnenity of food + Ralanced diet * Read a poem on proteing |+ Complete the table
> }+ Foods that + Test for tha praserice of fat + Read the case and tick the
| shoul!",The house sparrow has been known to live in dose contact with human deings instead of foresta For years Dy R has peacesy coaxisted with us in our buldings and Hy Gardens but in the last two decades ther poputation has  assist learners understand their strengths and  weaknesses thereby take remedial strategies to improve learning  Page 159   Page nummber 5 NEUE ANEF SENUE WEE ES POT TO NATTOOAT CUPP ECOTD PEAMOWOrRK TOP SCHOO tducation 2024 Preparatory Stage  Chapter Ke Currioutat Compotoncion Cone ote WarmupAativity Talk Exercises Gaata Ny 518 1 Dagatetite thee thartettienrotray at Phe eee opailavrik anid wreak Pree volag Siena atin fe lftentity parti ofa computer  Golveaa  Pillin the blanks 1 My aay D4 Povmpotheane hee Petree aeattety raeenete grec piritoeitiony pf Ba Nanas hewly Nanna badly  Plead understand and anawerqueationa  riddle  Correct the slalements CO HOON CR Deere sterile tahaaste anne parnatinee can aatily peed pieetetiony  Organs and  Maka two neckiacad from ona  Tick the corract reason re CRD Pegnmeeerste ettimeeesonrticnrnn aarndl Mvetinagee Chivetagih lifted comative proces orn ayers  Solve the rddla  Comprahansion questions  aren ree ie work  Label the parts of the digestive  Spot the differances system  Think and anawer  HOTS Do it yourself Safaty t Tehran Cb NekaritiPhens thetl fenead mcapgnente Prats een  Components of  Pleturebased laak fo understand how   Talk about  Pill in the blanks  We Bat CPE Desscthan the relationaip Pasian faa and health hood food Is produced Junk food  Tick the corract option UNS NS C2 eevee and clemorlten cuittural vnenity of food  Ralanced diet  Read a poem on proteing  Complete the table   Foods that  Test for tha praserice of fat  Read the case and tick the  shoul,food ralanced diet read a poem on proteing complete the
label,"© label different body

| parts of » bird.", label different body   parts of  bird,label different body parts of
oh,"Air 116
Unit V : oh
Natural Resources
11.",Air 116 Unit V  oh Natural Resources 11,air 116 unit v oh natural resources 11
teddy,"Cards and teddy bears,

Use this red shape to say,

That | love you so much,

Every single day!",Cards and teddy bears  Use this red shape to say  That  love you so much  Every single day,cards and teddy bears use this red
been,"Insert a straw | b Enews coensst need | ears ten Neng nou alee bare Anema Neve
straw-like mouth parts that help _| in the pace and suck
i

= Identity he natonal enema of | been on the Lath even before the appearance of human bewwps.",Insert a straw  b Enews coensst need  ears ten Neng nou alee bare Anema Neve strawlike mouth parts that help  in the pace and suck i   Identity he natonal enema of  been on the Lath even before the appearance of human bewwps,identity he natonal enema of been on the lath even
experiential,"Our Environment 140
Environment
Learning by Doing: Cross-curricular Project-1 Saga
(Animal Diaries) :
Learning by Doing: Cross-curricular Project-2 Ase 13
(Water: A Precious Treasure) :
Project-based Learning (Bring Back House Sparrows)
Assessment: Model Test Paper-1 152-154
Assessment: Model Test Paper-2 155-1517)
r

360-degree Holistic Progress Card (Comprehensive) 158-160



Page nummber: 3
LEARNING OUTCOMES

WARM-UP

interactive tasks to
engage learners ee

ACTIVITY

to aid in
experiential
learning

significant learning outcomes
that the learners will achieve
on completion of the lesson

Living Things Move o
| eran
; \Y/ eontiome
!",Our Environment 140 Environment Learning by Doing Crosscurricular Project1 Saga Animal Diaries  Learning by Doing Crosscurricular Project2 Ase 13 Water A Precious Treasure  Projectbased Learning Bring Back House Sparrows Assessment Model Test Paper1 152154 Assessment Model Test Paper2 1551517 r  360degree Holistic Progress Card Comprehensive 158160    Page nummber 3 LEARNING OUTCOMES  WARMUP  interactive tasks to engage learners ee  ACTIVITY  to aid in experiential learning  significant learning outcomes that the learners will achieve on completion of the lesson  Living Things Move o  eran  Y eontiome ,ee activity to aid in experiential learning significant learning outcomes
let,"Let us learn about the human body, its parts and their functions.",Let us learn about the human body its parts and their functions,let us learn about the
house,"Our Environment 140
Environment
Learning by Doing: Cross-curricular Project-1 Saga
(Animal Diaries) :
Learning by Doing: Cross-curricular Project-2 Ase 13
(Water: A Precious Treasure) :
Project-based Learning (Bring Back House Sparrows)
Assessment: Model Test Paper-1 152-154
Assessment: Model Test Paper-2 155-1517)
r

360-degree Holistic Progress Card (Comprehensive) 158-160



Page nummber: 3
LEARNING OUTCOMES

WARM-UP

interactive tasks to
engage learners ee

ACTIVITY

to aid in
experiential
learning

significant learning outcomes
that the learners will achieve
on completion of the lesson

Living Things Move o
| eran
; \Y/ eontiome
!",Our Environment 140 Environment Learning by Doing Crosscurricular Project1 Saga Animal Diaries  Learning by Doing Crosscurricular Project2 Ase 13 Water A Precious Treasure  Projectbased Learning Bring Back House Sparrows Assessment Model Test Paper1 152154 Assessment Model Test Paper2 1551517 r  360degree Holistic Progress Card Comprehensive 158160    Page nummber 3 LEARNING OUTCOMES  WARMUP  interactive tasks to engage learners ee  ACTIVITY  to aid in experiential learning  significant learning outcomes that the learners will achieve on completion of the lesson  Living Things Move o  eran  Y eontiome ,treasure projectbased learning bring back house sparrows assessment model test
which,"Altura is hosted on MEE (Macmillan Education Everywhere), a Learning Management System (LMS) that
offers Schools a platform which they can easily adapt to.",Altura is hosted on MEE Macmillan Education Everywhere a Learning Management System LMS that offers Schools a platform which they can easily adapt to,that offers schools a platform which they can easily adapt
