word,word_type,chunked_sentence,masked_chunked_sentence,example_sentence,masked_example_sentence,openai_sentence,masked_openai_sentence
along,3_science_LS2,page nummber 6 water along with food the body,Page nummber 6 water ***** with food the body,Congressional reaction to the message was along expected lines .,Congressional reaction to the message was ***** expected lines .,Come along to the store.,Come ***** to the store.
answer,3_science_LS2,answer the following questions,****** the following questions,It is a desperate effort to prop up a sagging candidate who has proven he cannot answer any questions about New Jersey's problems .,It is a desperate effort to prop up a sagging candidate who has proven he cannot ****** any questions about new jersey's problems .,I know the answer to the question.,I know the ****** to the question.
practice,3_science_LS2,workbook connect for more practice of the skills and,Workbook connect for more ******** of the skills and,Practice helps you to get your timing down .,******** helps you to get your timing down .,Practice makes perfect.,******** makes perfect.
prefer,3_science_LS2,individual preferences some people prefer to eat vegetarian food,Individual ******ences some people ****** to eat vegetarian food,-- State representatives decided Thursday against taking a poll on what kind of taxes Texans would prefer to pay .,-- state representatives decided thursday against taking a poll on what kind of taxes texans would ****** to pay ., I prefer chocolate over vanilla., i ****** chocolate over vanilla.
pot,3_science_LS2,some moist soil in a pot,Some moist soil in a ***,The melting pot .,The melting *** .,I cook soup in a pot.,I cook soup in a ***.
let,3_science_LS2,let us learn about the,*** us learn about the,"The bond issue will go to the state courts for a friendly test suit to test the validity of the act , and then the sales will begin and contracts let for repair work on some of Georgia's most heavily traveled highways .","The bond issue will go to the state courts for a friendly test suit to test the validity of the act , and then the sales will begin and contracts *** for repair work on some of georgia's most heavily traveled highways .",Let's play tag at recess.,***'s play tag at recess.
she,3_science_LS2,she requires a diet rich,*** requires a diet rich,She also was the original GOP national committeewoman from New Jersey in the early 1920s following adoption of the women's suffrage amendment .,*** also was the original gop national committeewoman from new jersey in the early 1920s following adoption of the women's suffrage amendment .,She is my friend.,*** is my friend.
scurvy,3_science_LS2,diseases such as night blindness scurvy and rickets,Diseases such as night blindness ****** and rickets,"The deficiency diseases -- scurvy , tropical sprue , pellagra -- run rampant .","The deficiency diseases -- ****** , tropical sprue , pellagra -- run rampant .",Scurvy is prevented by vitamin C.,****** is prevented by vitamin c.
piece,3_science_LS2,in which piece of the newspaper did,In which ***** of the newspaper did,Occasionally she deserts the simple and elegant for a fun piece simply because `` It's unlike me '' .,Occasionally she deserts the simple and elegant for a fun ***** simply because `` it's unlike me '' .,I broke a piece of cake.,I broke a ***** of cake.
potatoes,3_science_LS2,wheat maize bajra sugar and potatoes are rich in carbohydrates,Wheat maize bajra sugar and ******** are rich in carbohydrates,"`` Mostly meat and potatoes -- they have to have that go-go-go without getting too fat '' , says Ramsey .","`` mostly meat and ******** -- they have to have that go-go-go without getting too fat '' , says ramsey .",I like mashed potatoes.,I like mashed ********.
fruit,3_science_LS2,vitamins and minerals mixed fruit salad things you will,Vitamins and minerals mixed ***** salad things you will,The power was off for about five minutes in houses along Smith Street as far away as Fruit Hill Avenue shortly before 5 p.m. when the accident occurred .,The power was off for about five minutes in houses along smith street as far away as ***** hill avenue shortly before 5 p.m. when the accident occurred .,My favorite fruit is a banana.,My favorite ***** is a banana.
most,3_science_LS2,if cooked most of the vitamins present,If cooked **** of the vitamins present,"The bond issue will go to the state courts for a friendly test suit to test the validity of the act , and then the sales will begin and contracts let for repair work on some of Georgia's most heavily traveled highways .","The bond issue will go to the state courts for a friendly test suit to test the validity of the act , and then the sales will begin and contracts let for repair work on some of georgia's **** heavily traveled highways .",She has the most stickers.,She has the **** stickers.
to,3_science_LS2,the learners will be able to outline the necessity of,The learners will be able ** outline the necessity of,The September-October term jury had been charged by Fulton Superior Court Judge Durwood Pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won by Mayor-nominate Ivan Allen Jr. .,The september-oc**ber term jury had been charged by ful**n superior court judge durwood pye ** investigate reports of possible `` irregularities '' in the hard-fought primary which was won by mayor-nominate ivan allen jr. .,Go to the store.,Go ** the s**re.
activity,3_science_LS2,called na incub cigese fats activity 2 f ia,Called na incub cigese fats ******** 2 f ia,There has been more activity across the state line in Massachusetts than in Rhode Island in recent weeks toward enforcement of the Sunday sales laws .,There has been more ******** across the state line in massachusetts than in rhode island in recent weeks toward enforcement of the sunday sales laws .,Drawing is a fun activity.,Drawing is a fun ********.
take,3_science_LS2,take a piece of apple,**** a piece of apple,It urged that the city `` take steps to remedy '' this problem .,It urged that the city `` **** steps to remedy '' this problem .,Take your backpack to school.,**** your backpack to school.
tell,3_science_LS2,what do these pictures tell you,What do these pictures **** you,"While details are still to be worked out , Ratcliff said he expects to tell home folks in Dallas why he thinks Berry's proposed constitutional amendment should be rejected .","While details are still to be worked out , ratcliff said he expects to **** home folks in dallas why he thinks berry's proposed constitutional amendment should be rejected .",Can you tell a story?,Can you **** a story?
will,3_science_LS2,of this lesson the learners will be able to outline,Of this lesson the learners **** be able to outline,`` Failure to do this will continue to place a disproportionate burden '' on Fulton taxpayers .,`` failure to do this **** continue to place a disproportionate burden '' on fulton taxpayers .,I will help you.,I **** help you.
fresh,3_science_LS2,items that are eaten raw fresh and rotten foods we,Items that are eaten raw ***** and rotten foods we,"-- Gaining her second straight victory , Norman B. , Small , Jr.'s Garden Fresh , a 3-year-old filly , downed promising colts in the $4,500 St. Patrick's Day Purse , featured seventh race here today , and paid $7.20 straight .","-- gaining her second straight victory , norman b. , small , jr.'s garden ***** , a 3-year-old filly , downed promising colts in the $4,500 st. patrick's day purse , featured seventh race here today , and paid $7.20 straight .",I love the smell of fresh bread.,I love the smell of ***** bread.
understand,3_science_LS2,4 experiential learning let us understand what roughage is,4 experiential learning let us ********** what roughage is,`` I find it hard to understand how anyone seeking a position in public life could demonstrate such poor judgment and bad taste .,`` i find it hard to ********** how anyone seeking a position in public life could demonstrate such poor judgment and bad taste .,I understand the question.,I ********** the question.
chapter,3_science_LS2,go to altura workbook 3 chapter 2,Go to altura workbook 3 ******* 2,"With the announcement of a `` special achievement award '' to William A. ( ( Bill ) Shea , the awards list was completed yesterday for Sunday night's thirty-eighth annual dinner and show of the New York Chapter , Baseball Writers' Association of America , at the Waldorf-Astoria Hotel .","With the announcement of a `` special achievement award '' to william a. ( ( bill ) shea , the awards list was completed yesterday for sunday night's thirty-eighth annual dinner and show of the new york ******* , baseball writers' association of america , at the waldorf-astoria hotel .",Let's read the next chapter.,Let's read the next *******.
out,3_science_LS2,energy to work and carry out various activities,Energy to work and carry *** various activities,"In the Blue Ridge meeting , the audience was warned that entering a candidate for governor would force it to take petitions out into voting precincts to obtain the signatures of registered voters .","In the blue ridge meeting , the audience was warned that entering a candidate for governor would force it to take petitions *** into voting precincts to obtain the signatures of registered voters .",Let's go out to play.,Let's go *** to play.
our,3_science_LS2,our bodies need energy to,*** bodies need energy to,The jurors said they realize `` a proportionate distribution of these funds might disable this program in our less populous counties '' .,The jurors said they realize `` a proportionate distribution of these funds might disable this program in *** less populous counties '' .,Our school is big.,*** school is big.
so,3_science_LS2,5 am sa so ee 2 proteins aaa,5 am sa ** ee 2 proteins aaa,It urged that the next Legislature `` provide enabling funds and re-set the effective date so that an orderly implementation of the law may be effected '' .,It urged that the next legislature `` provide enabling funds and re-set the effective date ** that an orderly implementation of the law may be effected '' .,I am so happy.,I am ** happy.
too,3_science_LS2,by carbohydrates a ay eating too much fatrich food is,By carbohydrates a ay eating *** much fatrich food is,"Ordinary Williams said he , too , was subjected to anonymous calls soon after he scheduled the election .","Ordinary williams said he , *** , was subjected to anonymous calls soon after he scheduled the election .",It's too hot outside.,It's *** hot outside.
unpleasant,3_science_LS2,may have a strong and unpleasant smell,May have a strong and ********** smell,The prospect of cutting back spending is an unpleasant one for any governor .,The prospect of cutting back spending is an ********** one for any governor .,The smell was unpleasant.,The smell was **********.
used,3_science_LS2,coriander plants that can be used in various dishes 1,Coriander plants that can be **** in various dishes 1,Wexler has denied repeatedly that coercion was used in questioning .,Wexler has denied repeatedly that coercion was **** in questioning .,She used a marker.,She **** a marker.
cut,3_science_LS2,method step 1 wash and cut all the fruits into,Method step 1 wash and *** all the fruits into,"`` This is a very modest proposal cut to meet absolutely essential needs '' , he said , `` and with sufficient ' deductible ' requirements to discourage any malingering or unnecessary overcrowding of our hospitals .","`` this is a very modest proposal *** to meet absolutely essential needs '' , he said , `` and with sufficient ' deductible ' requirements to discourage any malingering or unnecessary overcrowding of our hospitals .",I cut paper with scissors.,I *** paper with scissors.
go,3_science_LS2,have learnt in this lesson go to altura workbook 3,Have learnt in this lesson ** to altura workbook 3,"The bond issue will go to the state courts for a friendly test suit to test the validity of the act , and then the sales will begin and contracts let for repair work on some of Georgia's most heavily traveled highways .","The bond issue will ** to the state courts for a friendly test suit to test the validity of the act , and then the sales will begin and contracts let for repair work on some of georgia's most heavily traveled highways .",Let's go to the zoo!,Let's ** to the zoo!
outline,3_science_LS2,learners will be able to outline the necessity of food,Learners will be able to ******* the necessity of food,Mr. Hawksley said yesterday he would be willing to go before the city council `` or anyone else locally '' to outline his proposal at the earliest possible time .,Mr. hawksley said yesterday he would be willing to go before the city council `` or anyone else locally '' to ******* his proposal at the earliest possible time .,Draw an outline first.,Draw an ******* first.
enough,3_science_LS2,that the seeds are far enough apart,That the seeds are far ****** apart,"He also complained that not enough notice was given on the hearing , since the bill was introduced only last Monday .","He also complained that not ****** notice was given on the hearing , since the bill was introduced only last monday .",I have enough toys.,I have ****** toys.
spoil,3_science_LS2,for example foods spoil if the weather is,For example foods ***** if the weather is,"otherwise , the cork dries and air enters to spoil it .","Otherwise , the cork dries and air enters to ***** it .", Don't let food spoil., don't let food *****.
fa,3_science_LS2,ne x fa ath refer to books,Ne x ** ath refer to books,No example sentence found.,No example sentence found.,,
poem,3_science_LS2,proteins artintegrated learning read the poem and identify the nutrient,Proteins artintegrated learning read the **** and identify the nutrient,"The Franck symphonic poem , `` Psyche '' , is a lush , sweet-sounding affair that was pleasant to encounter once again .","The franck symphonic **** , `` psyche '' , is a lush , sweet-sounding affair that was pleasant to encounter once again .",She wrote a beautiful poem.,She wrote a beautiful ****.
soft,3_science_LS2,eat food items that are soft and easy to chew,Eat food items that are **** and easy to chew,"Arnold's iron shot from the tee burrowed into the bunker guarding the green , an embankment that had become soft and spongy from the rains , thereby bringing local rules into force .","Arnold's iron shot from the tee burrowed into the bunker guarding the green , an embankment that had become **** and spongy from the rains , thereby bringing local rules into force .",The pillow is soft.,The pillow is ****.
coastal,3_science_LS2,availability people living in coastal areas generally eat a,Availability people living in ******* areas generally eat a,"Clams , crabs , and other marine life may add interest at coastal areas .","Clams , crabs , and other marine life may add interest at ******* areas .", We live near the coastal area., we live near the ******* area.
cause,3_science_LS2,stale or rotten food can cause vomiting andor diarrhoea,Stale or rotten food can ***** vomiting andor diarrhoea,Yet adequate compensation -- and particularly merely adequate compensation is no substitute for those intangibles which cause a man to sacrifice part of his earning potential by taking up college teaching in the first place .,Yet adequate compensation -- and particularly merely adequate compensation is no substitute for those intangibles which ***** a man to sacrifice part of his earning potential by taking up college teaching in the first place .,Eating too much can cause sickness.,Eating too much can ***** sickness.
wy,3_science_LS2,es be carbohydrates game proteins wy the 5 components fats,Es be carbohydrates game proteins ** the 5 components fats,No example sentence found.,No example sentence found.,,
vomiting,3_science_LS2,or rotten food can cause vomiting andor diarrhoea,Or rotten food can cause ******** andor diarrhoea,She said it was after she returned from her vomiting spell in the back yard that Mrs. Borden told her to wash the windows .,She said it was after she returned from her ******** spell in the back yard that mrs. borden told her to wash the windows ., Eating too much can cause vomiting., eating too much can cause ********.
leafy,3_science_LS2,page nummber 5 fruits green leafy vegetables milk and fish,Page nummber 5 fruits green ***** vegetables milk and fish,"Apprehensively he peered to the left , to the right into the leafy , vine-crisscrossed maze .","Apprehensively he peered to the left , to the right into the ***** , vine-crisscrossed maze .",Spinach is a leafy vegetable.,Spinach is a ***** vegetable.
keep,3_science_LS2,fats a keep the body warm and,Fats a **** the body warm and,"`` We must keep the bloodstream of New Jersey clean '' , the former Superior Court judge said .","`` we must **** the bloodstream of new jersey clean '' , the former superior court judge said .",Keep your room clean.,**** your room clean.
are,3_science_LS2,there are five types of nutrients,There *** five types of nutrients,The jury said it did find that many of Georgia's registration and election laws `` are outmoded or inadequate and often ambiguous '' .,The jury said it did find that many of georgia's registration and election laws `` *** outmoded or inadequate and often ambiguous '' .,You are my best friend.,You *** my best friend.
need,3_science_LS2,our bodies need energy to work and,Our bodies **** energy to work and,"Marshall Formby of Plainview , former chairman of the Texas Highway Commission , suggested a plan to fill by appointment future vacancies in the Legislature and Congress , eliminating the need for costly special elections .","Marshall formby of plainview , former chairman of the texas highway commission , suggested a plan to fill by appointment future vacancies in the legislature and congress , eliminating the **** for costly special elections .",I need a new pencil.,I **** a new pencil.
here,3_science_LS2,ga page nummber 8 here are some tips that,Ga page nummber 8 **** are some tips that,"It would authorize the Texas Education Agency to establish county-wide day schools for the deaf in counties of 300,000 or more population , require deaf children between 6 and 13 years of age to attend the day schools , permitting older ones to attend the residential Texas School for the Deaf here .","It would authorize the texas education agency to establish county-wide day schools for the deaf in counties of 300,000 or more population , require deaf children between 6 and 13 years of age to attend the day schools , permitting older ones to attend the residential texas school for the deaf **** .","Come here, please.","Come ****, please."
they,3_science_LS2,they are proteins carbohydrates fats,**** are proteins carbohydrates fats,The jurors said they realize `` a proportionate distribution of these funds might disable this program in our less populous counties '' .,The jurors said **** realize `` a proportionate distribution of these funds might disable this program in our less populous counties '' .,They are my friends.,**** are my friends.
me,3_science_LS2,pass me the peas please richie,Pass ** the peas please richie,Some of my fellow workers were grooming me for an office in the Socialist Party .,So** of my fellow workers were grooming ** for an office in the socialist party .,Can you pass the crayons to me?,Can you pass the crayons to **?
fish,3_science_LS2,chicken egg fish milk and pulses are,Chicken egg **** milk and pulses are,"There true yachtsmen often find November winds steadier , the waters cooler , the fish hungrier , and rivers more pleasant -- less turbulence and mud , and fewer floating logs .","There true yachtsmen often find november winds steadier , the waters cooler , the **** hungrier , and rivers more pleasant -- less turbulence and mud , and fewer floating logs .",We have a fish tank.,We have a **** tank.
from,3_science_LS2,this energy is derived from the food we eat,This energy is derived **** the food we eat,"`` These actions should serve to protect in fact and in effect the court's wards from undue costs and its appointed and elected servants from unmeritorious criticisms '' , the jury said .","`` these actions should serve to protect in fact and in effect the court's wards **** undue costs and its appointed and elected servants **** unmeritorious criticisms '' , the jury said .",This gift is from my mom.,This gift is **** my mom.
give,3_science_LS2,i in proteins carbohydrates carbohydrates give us energy,I in proteins carbohydrates carbohydrates **** us energy,"It says that `` in the event Congress does provide this increase in federal funds '' , the State Board of Education should be directed to `` give priority '' to teacher pay raises .","It says that `` in the event congress does provide this increase in federal funds '' , the state board of education should be directed to `` **** priority '' to teacher pay raises .",Please give the pen to me.,Please **** the pen to me.
connect,3_science_LS2,workbook connect for more practice of,Workbook ******* for more practice of,"Other witnesses , after appearances before the jury , which reportedly is probing into possible income tax violations , disclosed that government prosecutors were attempting to connect Stein and his company with a number of gangsters , including Glimco and Alex .","Other witnesses , after appearances before the jury , which reportedly is probing into possible income tax violations , disclosed that government prosecutors were attempting to ******* stein and his company with a number of gangsters , including glimco and alex .",Connect the dots to see the picture.,******* the dots to see the picture.
as,3_science_LS2,schema pss ioaikut 0 oul as ii nina igi es,Schema pss ioaikut 0 oul ** ii nina igi es,"The City Purchasing Department , the jury said , `` is lacking in experienced clerical personnel as a result of city personnel policies '' .","The city purch**ing department , the jury said , `` is lacking in experienced clerical personnel ** a result of city personnel policies '' .",I am fast as a rabbit.,I am f**t ** a rabbit.
tick,3_science_LS2,tick v the correct option,**** v the correct option,In the command centers there are special clocks ready to tick off the minutes elapsed since `` E hour '' .,In the command centers there are special clocks ready to **** off the minutes elapsed since `` e hour '' ., A tick is a small insect., a **** is a small insect.
raw,3_science_LS2,foods that should be eaten raw some vegetables such as,Foods that should be eaten *** some vegetables such as,The city sewer maintenance division said efforts will be made Sunday to clear a stoppage in a sewer connection at Eddy and Elm Streets responsible for dumping raw sewage into the Providence River .,The city sewer maintenance division said efforts will be made sunday to clear a stoppage in a sewer connection at eddy and elm streets responsible for dumping *** sewage into the providence river .,We don't eat raw meat.,We don't eat *** meat.
new,3_science_LS2,growth of new cells and repair of,Growth of *** cells and repair of,"Regarding Atlanta's new multi-million-dollar airport , the jury recommended `` that when the new management takes charge Jan. 1 the airport be operated in a manner that will eliminate political influences '' .","Regarding atlanta's *** multi-million-dollar airport , the jury recommended `` that when the *** management takes charge jan. 1 the airport be operated in a manner that will eliminate political influences '' .",I got a new bike.,I got a *** bike.
generally,3_science_LS2,occupation an athlete generally eats carbohydraterich food as,Occupation an athlete ********* eats carbohydraterich food as,"The grand jury commented on a number of other topics , among them the Atlanta and Fulton County purchasing departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of both governments '' .","The grand jury commented on a number of other topics , among them the atlanta and fulton county purchasing departments which it said `` are well operated and follow ********* accepted practices which inure to the best interest of both governments '' .","Generally, I wake up early.","*********, i wake up early."
its,3_science_LS2,on india is known for its incredible diversity in food,On india is known for *** incredible diversity in food,"The jury also commented on the Fulton ordinary's court which has been under fire for its practices in the appointment of appraisers , guardians and administrators and the awarding of fees and compensation .","The jury also commented on the fulton ordinary's court which has been under fire for *** practices in the appointment of appraisers , guardians and administrators and the awarding of fees and compensation .",The dog wagged its tail.,The dog wagged *** tail.
and,3_science_LS2,a vitamins and minerals pn s in,A vitamins *** minerals pn s in,"The jury further said in term-end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .","The jury further said in term-end presentments that the city executive committee , which had over-all charge of the election , `` deserves the praise *** thanks of the city of atlanta '' for the manner in which the election was conducted .",I have a cat and a dog.,I have a cat *** a dog.
coconut,3_science_LS2,seeds a tablespoon each of coconut powder rice mustard and,Seeds a tablespoon each of ******* powder rice mustard and,"Second grand prize of $5,000 went to Mrs. Clara L. Oliver for her Hawaiian coffee ring , a rich yeast bread with coconut filling and vanilla glaze .","Second grand prize of $5,000 went to mrs. clara l. oliver for her hawaiian coffee ring , a rich yeast bread with ******* filling and vanilla glaze .",The cake has coconut on top.,The cake has ******* on top.
banana,3_science_LS2,apple orange grapes mango papaya banana honey method step 1,Apple orange grapes mango papaya ****** honey method step 1,"Though she did not then know its name , this strange new fruit was a banana .","Though she did not then know its name , this strange new fruit was a ****** .",I like to eat a ripe banana.,I like to eat a ripe ******.
there,3_science_LS2,there are five types of,***** are five types of,"The jury did not elaborate , but it added that `` there should be periodic surveillance of the pricing practices of the concessionaires for the purpose of keeping the prices reasonable '' .","The jury did not elaborate , but it added that `` ***** should be periodic surveillance of the pricing practices of the concessionaires for the purpose of keeping the prices reasonable '' .",Look over there!,Look over *****!
lesson,3_science_LS2,2 the food we eat lesson schema pss ioaikut 0,2 the food we eat ****** schema pss ioaikut 0,"Rather than viewing the abortive recovery in 1959-60 as a reason for believing we have lost prospects for growth '' , he said `` it should be viewed as a lesson well learned which will increase the probability of substantial improvement in this recovery '' .","Rather than viewing the abortive recovery in 1959-60 as a reason for believing we have lost prospects for growth '' , he said `` it should be viewed as a ****** well learned which will increase the probability of substantial improvement in this recovery '' .",Math lesson starts at nine.,Math ****** starts at nine.
may,3_science_LS2,condition is called obesity which may lead to many diseases,Condition is called obesity which *** lead to many diseases,It urged that the next Legislature `` provide enabling funds and re-set the effective date so that an orderly implementation of the law may be effected '' .,It urged that the next legislature `` provide enabling funds and re-set the effective date so that an orderly implementation of the law *** be effected '' .,May I have a cookie?,*** i have a cookie?
unique,3_science_LS2,of india has its own unique and distinct food rr,Of india has its own ****** and distinct food rr,"Acting Administrator Andrew F. Juras said that because of Field's unique position and knowledge in the program , the agency now would be seriously handicapped if he was not continued for a period .","Acting administrator andrew f. juras said that because of field's ****** position and knowledge in the program , the agency now would be seriously handicapped if he was not continued for a period .", Each snowflake is unique., each snowflake is ******.
normal,3_science_LS2,some are essential for the normal growth and development of,Some are essential for the ****** growth and development of,A normal year's work in college is 30 semester hours .,A ****** year's work in college is 30 semester hours .,Everything seems normal today.,Everything seems ****** today.
sprinkling,3_science_LS2,keep the soil moist by sprinkling water as needed,Keep the soil moist by ********** water as needed,When the first sprinkling of green appears I remove the board .,When the first ********** of green appears i remove the board .,He is sprinkling water on plants.,He is ********** water on plants.
without,3_science_LS2,similarly a baby without teeth eats food items,Similarly a baby ******* teeth eats food items,"Without dissent , senators passed a bill by Sen. A. R. Schwartz of Galveston authorizing establishment in the future of a school for the mentally retarded in the Gulf Coast district .","******* dissent , senators passed a bill by sen. a. r. schwartz of galveston authorizing establishment in the future of a school for the mentally retarded in the gulf coast district .","We're out of milk, so breakfast is without it.","We're out of milk, so breakfast is ******* it."
have,3_science_LS2,and stay healthy we should have a balanced diet,And stay healthy we should **** a balanced diet,It recommended that Fulton legislators act `` to have these laws studied and revised to the end of modernizing and improving them '' .,It recommended that fulton legislators act `` to **** these laws studied and revised to the end of modernizing and improving them '' .,I have a question.,I **** a question.
wash,3_science_LS2,banana honey method step 1 wash and cut all the,Banana honey method step 1 **** and cut all the,Steak House has such a run on beer to wash down that Mexican food `` Tex '' Burgess had to call the draft man twice in one day .,Steak house has such a run on beer to **** down that mexican food `` tex '' burgess had to call the draft man twice in one day .,Wash your hands.,**** your hands.
learning,3_science_LS2,ie a 4 ee th learning outcomes at the end,Ie a 4 ee th ******** outcomes at the end,"-- A Houston teacher , now serving in the Legislature , proposed Thursday a law reducing the time spent learning `` educational methods '' .","-- a houston teacher , now serving in the legislature , proposed thursday a law reducing the time spent ******** `` educational methods '' .",Learning to read is fun.,******** to read is fun.
in,3_science_LS2,vitamins and minerals pn s in water,Vitam**s and m**erals pn s ** water,"The jury further said in term-end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .","The jury further said ** term-end presentments that the city executive committee , which had over-all charge of the election , `` deserves the praise and thanks of the city of atlanta '' for the manner ** which the election was conducted .",The cat is in the box.,The cat is ** the box.
starch,3_science_LS2,starch and sugar are types,****** and sugar are types,Seeds are a main source of starch for industrial and food use in many parts of the world .,Seeds are a main source of ****** for industrial and food use in many parts of the world .,Rice is a good source of starch.,Rice is a good source of ******.
kitchen,3_science_LS2,sese ityourself experiential learning kitchen garden grow your own,Sese ityourself experiential learning ******* garden grow your own,"Her husband was lying on the kitchen floor , police said .","Her husband was lying on the ******* floor , police said .", Mom cooks in the kitchen., mom cooks in the *******.
sesame,3_science_LS2,olive groundnut coconut safflower and sesame plants,Olive groundnut coconut safflower and ****** plants,"Small , shirt-sleeved orchestras play in 2/4 or 4/4 time , using guitars , violins , and more alien instruments with names that would open Sesame : the oud , grandfather of the lute ; ;","Small , shirt-sleeved orchestras play in 2/4 or 4/4 time , using guitars , violins , and more alien instruments with names that would open ****** : the oud , grandfather of the lute ; ;", Sesame seeds are tiny., ****** seeds are tiny.
culinary,3_science_LS2,countrys rich cultural heritage and culinary traditions,Countrys rich cultural heritage and ******** traditions,No example sentence found.,No example sentence found., Culinary skills involve cooking., ******** skills involve cooking.
ways,3_science_LS2,what are some of the ways by which we can,What are some of the **** by which we can,"`` He calls for help while saying he is against centralization , but you can't have it both ways '' , Jones said .","`` he calls for help while saying he is against centralization , but you can't have it both **** '' , jones said .",There are many ways to solve this.,There are many **** to solve this.
spoon,3_science_LS2,step 2 add a spoon of honey and mix,Step 2 add a ***** of honey and mix,Cut a notch in lid for spoon handle if desired .,Cut a notch in lid for ***** handle if desired .,I eat soup with a spoon.,I eat soup with a *****.
