dict_matched_filtered_words,sentence,cleaned_sentence,chunked_sentence
wy,"

Page nummber: 1
2 The Food We Eat

LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be

° carbohydrates  :
| game | |
proteins |
' wy )
;  '
The 5
Components fats eS }
food we =< o |
of food eta s  Zz
!",  Page nummber 1 2 The Food We Eat  LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be   carbohydrates    game   proteins   wy     The 5 Components fats eS  food we  o  of food eta s  Zz ,es be carbohydrates game proteins wy the 5 components fats
vomiting,"Eating stale or rotten
food can cause vomiting and/or diarrhoea.",Eating stale or rotten food can cause vomiting andor diarrhoea,or rotten food can cause vomiting andor diarrhoea
leafy,"Page nummber: 5
Fruits, green leafy vegetables, milk and fish are some foods rich in vitamins
and minerals.",Page nummber 5 Fruits green leafy vegetables milk and fish are some foods rich in vitamins and minerals,page nummber 5 fruits green leafy vegetables milk and fish
keep,"Fats A
keep the body warm and give us twice the amount of ,

iven by carbohydrates.",Fats A keep the body warm and give us twice the amount of   iven by carbohydrates,fats a keep the body warm and
are,"There are five types of
nutrients present in the food.",There are five types of nutrients present in the food,there are five types of nutrients
need,Our bodies need energy to work and carry out various activities.,Our bodies need energy to work and carry out various activities,our bodies need energy to work and
here,"Ga)


Page nummber: 8
Here are some tips that can help us identify if the food is fresh or rotten.",Ga   Page nummber 8 Here are some tips that can help us identify if the food is fresh or rotten,ga page nummber 8 here are some tips that
they,"They are proteins,
carbohydrates, fats, vitamins and minerals.",They are proteins carbohydrates fats vitamins and minerals,they are proteins carbohydrates fats
me,"Pass me the peas, please.

Richie said to Mum.",Pass me the peas please  Richie said to Mum,pass me the peas please richie
fish,"Chicken, egg, fish, milk and pulses are rich in
proteins.",Chicken egg fish milk and pulses are rich in proteins,chicken egg fish milk and pulses are
from,"This energy
is derived from the food we eat.",This energy is derived from the food we eat,this energy is derived from the food we eat
give,"Sige = foods rich
i in proteins
Carbohydrates

Carbohydrates give us energy.",Sige  foods rich i in proteins Carbohydrates  Carbohydrates give us energy,i in proteins carbohydrates carbohydrates give us energy
connect,"Workbook Connect
For more practice of the skills and concepts you have learnt in this lesson, go to Altura Workbook 3, Chapter 2.",Workbook Connect For more practice of the skills and concepts you have learnt in this lesson go to Altura Workbook 3 Chapter 2,workbook connect for more practice of
as,"

Page nummber: 1
2 The Food We Eat

LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be

° carbohydrates  :
| game | |
proteins |
' wy )
;  '
The 5
Components fats eS }
food we =< o |
of food eta s  Zz
!",  Page nummber 1 2 The Food We Eat  LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be   carbohydrates    game   proteins   wy     The 5 Components fats eS  food we  o  of food eta s  Zz ,schema pss ioaikut 0 oul as ii nina igi es
tick,Tick (V) the correct option.,Tick V the correct option,tick v the correct option
raw,"a balanced diet

Foods that Should be Eaten Raw

Some vegetables such as tomatoes,
onions, cucumbers, radishes and
carrots should be eaten raw.",a balanced diet  Foods that Should be Eaten Raw  Some vegetables such as tomatoes onions cucumbers radishes and carrots should be eaten raw,foods that should be eaten raw some vegetables such as
new,growth of new cells and repair of old cells.,growth of new cells and repair of old cells,growth of new cells and repair of
generally,"Occupation: An athlete generally eats carbohydrate-rich food as he/she
requires more energy while playing a sport.",Occupation An athlete generally eats carbohydraterich food as heshe requires more energy while playing a sport,occupation an athlete generally eats carbohydraterich food as
its,on India is known for its incredible diversity in food.,on India is known for its incredible diversity in food,on india is known for its incredible diversity in food
they,"They are proteins,
carbohydrates, fats, vitamins and minerals.",They are proteins carbohydrates fats vitamins and minerals,they are proteins carbohydrates fats
and,"a vitamins and minerals | = |
PN s
IN water : |
'
!",a vitamins and minerals    PN s IN water    ,a vitamins and minerals pn s in
coconut,"2
Evnariantial | aa ;
/ + Experiential Learning

Test for the presence of fat

Collect a few groundnut seeds, a tablespoon each of coconut powder, rice,
mustard and cumin seeds.",2 Evnariantial  aa    Experiential Learning  Test for the presence of fat  Collect a few groundnut seeds a tablespoon each of coconut powder rice mustard and cumin seeds,seeds a tablespoon each of coconut powder rice mustard and
banana,"Vitamins and Minerals

Mixed fruit salad

Things you will need: ¢ apple © orange ® grapes
© mango ® papaya ® banana ® honey

Method

Step 1: Wash and cut all the fruits into small
pieces and remove the seeds.",Vitamins and Minerals  Mixed fruit salad  Things you will need  apple  orange  grapes  mango  papaya  banana  honey  Method  Step 1 Wash and cut all the fruits into small pieces and remove the seeds,apple orange grapes mango papaya banana honey method step 1
there,"There are five types of
nutrients present in the food.",There are five types of nutrients present in the food,there are five types of
lesson,"

Page nummber: 1
2 The Food We Eat

LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be

° carbohydrates  :
| game | |
proteins |
' wy )
;  '
The 5
Components fats eS }
food we =< o |
of food eta s  Zz
!",  Page nummber 1 2 The Food We Eat  LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be   carbohydrates    game   proteins   wy     The 5 Components fats eS  food we  o  of food eta s  Zz ,2 the food we eat lesson schema pss ioaikut 0
may,"This condition
is called obesity, which may lead to many diseases.",This condition is called obesity which may lead to many diseases,condition is called obesity which may lead to many diseases
unique,"Every state
My Prideg)

and union territory of India has its own unique and distinct food,
rr which reflects the countrys rich cultural
heritage and culinary traditions.",Every state My Prideg  and union territory of India has its own unique and distinct food rr which reflects the countrys rich cultural heritage and culinary traditions,of india has its own unique and distinct food rr
normal,"Some
are essential for the normal growth and
development of the body.",Some are essential for the normal growth and development of the body,some are essential for the normal growth and development of
sprinkling,Keep the soil moist by sprinkling water as needed.,Keep the soil moist by sprinkling water as needed,keep the soil moist by sprinkling water as needed
without,"Similarly, a baby without teeth eats food items that can be swallowed
without chewing.",Similarly a baby without teeth eats food items that can be swallowed without chewing,similarly a baby without teeth eats food items
have,"Food component Food items

Proteins
Carbohydrates =
Fats

Vitamins and minerals

|
Roughage

To grow well and stay healthy, we should
have a balanced diet.",Food component Food items  Proteins Carbohydrates  Fats  Vitamins and minerals   Roughage  To grow well and stay healthy we should have a balanced diet,and stay healthy we should have a balanced diet
wash,"Vitamins and Minerals

Mixed fruit salad

Things you will need: ¢ apple © orange ® grapes
© mango ® papaya ® banana ® honey

Method

Step 1: Wash and cut all the fruits into small
pieces and remove the seeds.",Vitamins and Minerals  Mixed fruit salad  Things you will need  apple  orange  grapes  mango  papaya  banana  honey  Method  Step 1 Wash and cut all the fruits into small pieces and remove the seeds,banana honey method step 1 wash and cut all the
learning,"roughage
\ ee eT Cn Mae eats SRY IT ee ie a 4
ee Th

LEARNING OUTCOMES

At the end of this lesson, the learners will be able to:

_ * outline the necessity of food.",roughage  ee eT Cn Mae eats SRY IT ee ie a 4 ee Th  LEARNING OUTCOMES  At the end of this lesson the learners will be able to    outline the necessity of food,ie a 4 ee th learning outcomes at the end
in,"a vitamins and minerals | = |
PN s
IN water : |
'
!",a vitamins and minerals    PN s IN water    ,vitamins and minerals pn s in water
starch,"Starch and sugar
are types of carbohydrates.",Starch and sugar are types of carbohydrates,starch and sugar are types
kitchen,"SESE It)Yourself
[= * Experiential Learning

Kitchen garden

Grow your own food in your kitchen garden.",SESE ItYourself   Experiential Learning  Kitchen garden  Grow your own food in your kitchen garden,sese ityourself experiential learning kitchen garden grow your own
sesame,"What do we get from the seeds of sunflower, mustard,
olive, groundnut, coconut, safflower and sesame plants?",What do we get from the seeds of sunflower mustard olive groundnut coconut safflower and sesame plants,olive groundnut coconut safflower and sesame plants
culinary,"Every state
My Prideg)

and union territory of India has its own unique and distinct food,
rr which reflects the countrys rich cultural
heritage and culinary traditions.",Every state My Prideg  and union territory of India has its own unique and distinct food rr which reflects the countrys rich cultural heritage and culinary traditions,countrys rich cultural heritage and culinary traditions
ways,What are some of the ways by which we can identify rotten food?,What are some of the ways by which we can identify rotten food,what are some of the ways by which we can
spoon,Step 2: Add a spoon of honey and mix everything.,Step 2 Add a spoon of honey and mix everything,step 2 add a spoon of honey and mix
edible,We get edible oils from their seeds.,We get edible oils from their seeds,we get edible oils from their seeds
them,"If cooked,
most of the vitamins present in them
are lost.",If cooked most of the vitamins present in them are lost,of the vitamins present in them are lost
role,< explain the role of nutrients., explain the role of nutrients,explain the role of nutrients
by,"Fats A
keep the body warm and give us twice the amount of ,

iven by carbohydrates.",Fats A keep the body warm and give us twice the amount of   iven by carbohydrates,twice the amount of iven by carbohydrates
know,Solve the clues to know the nutrient!,Solve the clues to know the nutrient,solve the clues to know the nutrient
we,"

Page nummber: 1
2 The Food We Eat

LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be

° carbohydrates  :
| game | |
proteins |
' wy )
;  '
The 5
Components fats eS }
food we =< o |
of food eta s  Zz
!",  Page nummber 1 2 The Food We Eat  LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be   carbohydrates    game   proteins   wy     The 5 Components fats eS  food we  o  of food eta s  Zz ,nummber 1 2 the food we eat lesson schema pss
audit,"j2 1st
CENTU
SAtLLS

Food audit
Think about the food you had yesterday.",j2 1st CENTU SAtLLS  Food audit Think about the food you had yesterday,j2 1st centu satlls food audit think about the food
what,What do these pictures tell you?,What do these pictures tell you,what do these pictures tell
it,"roughage
\ ee eT Cn Mae eats SRY IT ee ie a 4
ee Th

LEARNING OUTCOMES

At the end of this lesson, the learners will be able to:

_ * outline the necessity of food.",roughage  ee eT Cn Mae eats SRY IT ee ie a 4 ee Th  LEARNING OUTCOMES  At the end of this lesson the learners will be able to    outline the necessity of food,et cn mae eats sry it ee ie a 4
protective,"Hence, food items rich in vitamins
and minerals are called protective foods.",Hence food items rich in vitamins and minerals are called protective foods,vitamins and minerals are called protective foods
energy,Our bodies need energy to work and carry out various activities.,Our bodies need energy to work and carry out various activities,our bodies need energy to work and carry
different,"Since the amount of nutrients is different in different types of food,
it is important that we eat all types of food.",Since the amount of nutrients is different in different types of food it is important that we eat all types of food,the amount of nutrients is different in different types of
much,"ae
energy given by carbohydrates a ay
Eating too much fat-rich food is harmful for the body.",ae energy given by carbohydrates a ay Eating too much fatrich food is harmful for the body,carbohydrates a ay eating too much fatrich food is harmful
health,Fresh food is good for our health.,Fresh food is good for our health,food is good for our health
bottle,"You can even use a
milk carton or a plastic bottle as the pot.",You can even use a milk carton or a plastic bottle as the pot,milk carton or a plastic bottle as the pot
make,"Some vitamins and minerals help to
make our bones and teeth strong.",Some vitamins and minerals help to make our bones and teeth strong,vitamins and minerals help to make our bones and teeth
strong,"Food also helps the body grow, makes bones
and muscles strong, and protects the body from many diseases.",Food also helps the body grow makes bones and muscles strong and protects the body from many diseases,grow makes bones and muscles strong and protects the body
few,"2
Evnariantial | aa ;
/ + Experiential Learning

Test for the presence of fat

Collect a few groundnut seeds, a tablespoon each of coconut powder, rice,
mustard and cumin seeds.",2 Evnariantial  aa    Experiential Learning  Test for the presence of fat  Collect a few groundnut seeds a tablespoon each of coconut powder rice mustard and cumin seeds,presence of fat collect a few groundnut seeds a tablespoon
distinct,"Every state
My Prideg)

and union territory of India has its own unique and distinct food,
rr which reflects the countrys rich cultural
heritage and culinary traditions.",Every state My Prideg  and union territory of India has its own unique and distinct food rr which reflects the countrys rich cultural heritage and culinary traditions,has its own unique and distinct food rr which reflects
living,"Availability: People living in coastal areas generally eat a lot of fish and
other seafood as these foods are easily available.",Availability People living in coastal areas generally eat a lot of fish and other seafood as these foods are easily available,availability people living in coastal areas generally
repair,"Some provide energy to the body, others help

to grow and repair worn out cells and tissues.",Some provide energy to the body others help  to grow and repair worn out cells and tissues,others help to grow and repair worn out cells and
waste,"It helps in digesting food, throwing out waste
and maintaining the body temperature.",It helps in digesting food throwing out waste and maintaining the body temperature,in digesting food throwing out waste and maintaining the body
this,"roughage
\ ee eT Cn Mae eats SRY IT ee ie a 4
ee Th

LEARNING OUTCOMES

At the end of this lesson, the learners will be able to:

_ * outline the necessity of food.",roughage  ee eT Cn Mae eats SRY IT ee ie a 4 ee Th  LEARNING OUTCOMES  At the end of this lesson the learners will be able to    outline the necessity of food,outcomes at the end of this lesson the learners will
experiential,"2
Evnariantial | aa ;
/ + Experiential Learning

Test for the presence of fat

Collect a few groundnut seeds, a tablespoon each of coconut powder, rice,
mustard and cumin seeds.",2 Evnariantial  aa    Experiential Learning  Test for the presence of fat  Collect a few groundnut seeds a tablespoon each of coconut powder rice mustard and cumin seeds,2 evnariantial aa experiential learning test for the
particular,Each nutrient has a particular function.,Each nutrient has a particular function,each nutrient has a particular function
cent,"=



Page nummber: 6
Water

Along with food, the body needs about 3 to 4 litres of
water daily, as nearly 70 per cent of the human body
is made up of water.",    Page nummber 6 Water  Along with food the body needs about 3 to 4 litres of water daily as nearly 70 per cent of the human body is made up of water,daily as nearly 70 per cent of the human body
important,"Since the amount of nutrients is different in different types of food,
it is important that we eat all types of food.",Since the amount of nutrients is different in different types of food it is important that we eat all types of food,types of food it is important that we eat all
good,Fresh food is good for our health.,Fresh food is good for our health,fresh food is good for our health
place,"Place each food item between the folds of a

> e Critical Thinking



Page nummber: 4
newspaper.",Place each food item between the folds of a   e Critical Thinking    Page nummber 4 newspaper,place each food item between
importance," state the importance of water and
roughage in the diet.", state the importance of water and roughage in the diet,state the importance of water and roughage
while,"« Fresh food has a pleasant smell, while rotten food may have a strong and
unpleasant smell.", Fresh food has a pleasant smell while rotten food may have a strong and unpleasant smell,food has a pleasant smell while rotten food may have
cumin,"2
Evnariantial | aa ;
/ + Experiential Learning

Test for the presence of fat

Collect a few groundnut seeds, a tablespoon each of coconut powder, rice,
mustard and cumin seeds.",2 Evnariantial  aa    Experiential Learning  Test for the presence of fat  Collect a few groundnut seeds a tablespoon each of coconut powder rice mustard and cumin seeds,coconut powder rice mustard and cumin seeds
read,"Proteins

©
* Art-integrated Learning

Read the poem and identify the nutrient.",Proteins    Artintegrated Learning  Read the poem and identify the nutrient,proteins artintegrated learning read the poem and identify
place,"Place each food item between the folds of a

> e Critical Thinking



Page nummber: 4
newspaper.",Place each food item between the folds of a   e Critical Thinking    Page nummber 4 newspaper,place each food item between
start,"Start easy with coriander plants that can be used in various dishes:

1.",Start easy with coriander plants that can be used in various dishes  1,start easy with coriander plants
about,Let us learn about the different components of food.,Let us learn about the different components of food,let us learn about the different components of
work,Our bodies need energy to work and carry out various activities.,Our bodies need energy to work and carry out various activities,our bodies need energy to work and carry out various
grow,"Food also helps the body grow, makes bones
and muscles strong, and protects the body from many diseases.",Food also helps the body grow makes bones and muscles strong and protects the body from many diseases,food also helps the body grow makes bones and muscles
our,Our bodies need energy to work and carry out various activities.,Our bodies need energy to work and carry out various activities,our bodies need energy to
receive,"Place the pot in an appropriate place to receive
sufficient sunlight.",Place the pot in an appropriate place to receive sufficient sunlight,in an appropriate place to receive sufficient sunlight
vegetarian,"Individual preferences: Some people prefer to eat vegetarian food, while
some others prefer to eat non-vegetarian food.",Individual preferences Some people prefer to eat vegetarian food while some others prefer to eat nonvegetarian food,some people prefer to eat vegetarian food while some others
for,"Page nummber: 2
The process of obtaining food and utilising it for the various needs of the
body is called nutrition.",Page nummber 2 The process of obtaining food and utilising it for the various needs of the body is called nutrition,obtaining food and utilising it for the various needs of
fight,to fight diseases.,to fight diseases,to fight diseases
water,"a vitamins and minerals | = |
PN s
IN water : |
'
!",a vitamins and minerals    PN s IN water    ,and minerals pn s in water
needs,"Page nummber: 2
The process of obtaining food and utilising it for the various needs of the
body is called nutrition.",Page nummber 2 The process of obtaining food and utilising it for the various needs of the body is called nutrition,utilising it for the various needs of the body is
grow,"Food also helps the body grow, makes bones
and muscles strong, and protects the body from many diseases.",Food also helps the body grow makes bones and muscles strong and protects the body from many diseases,food also helps the body grow makes bones and muscles
your,Which is your favourite carbohydrate-rich food?,Which is your favourite carbohydraterich food,which is your favourite carbohydraterich food
evenly,"Scatter some coriander seeds evenly in the pot and cover them with a thin
layer of soil.",Scatter some coriander seeds evenly in the pot and cover them with a thin layer of soil,scatter some coriander seeds evenly in the pot and
papaya,"Vitamins and Minerals

Mixed fruit salad

Things you will need: ¢ apple © orange ® grapes
© mango ® papaya ® banana ® honey

Method

Step 1: Wash and cut all the fruits into small
pieces and remove the seeds.",Vitamins and Minerals  Mixed fruit salad  Things you will need  apple  orange  grapes  mango  papaya  banana  honey  Method  Step 1 Wash and cut all the fruits into small pieces and remove the seeds,need apple orange grapes mango papaya banana honey method step
define,"+ define the terms nutrition, nutrients and balanced diet.", define the terms nutrition nutrients and balanced diet,define the terms nutrition nutrients
edible,We get edible oils from their seeds.,We get edible oils from their seeds,we get edible oils from their seeds
animal,"We get
eh, N proteins from both plant and animal sources.",We get eh N proteins from both plant and animal sources,proteins from both plant and animal sources
chill,Step 3: Chill the salad and enjoy!,Step 3 Chill the salad and enjoy,step 3 chill the salad and enjoy
song,"Virtual Tour

Scan the Q QR code and listen to the song to understand a we must
not eat junk food.",Virtual Tour  Scan the Q QR code and listen to the song to understand a we must not eat junk food,code and listen to the song to understand a we
must,"Food items that are eaten raw must,
however, be washed properly.",Food items that are eaten raw must however be washed properly,items that are eaten raw must however be washed properly
her,"& » )
IL,

Priti is recovering from a fracture in her hand.",   IL  Priti is recovering from a fracture in her hand,recovering from a fracture in her hand
more,"Occupation: An athlete generally eats carbohydrate-rich food as he/she
requires more energy while playing a sport.",Occupation An athlete generally eats carbohydraterich food as heshe requires more energy while playing a sport,carbohydraterich food as heshe requires more energy while playing a
their,We get edible oils from their seeds.,We get edible oils from their seeds,we get edible oils from their seeds
many,"Food also helps the body grow, makes bones
and muscles strong, and protects the body from many diseases.",Food also helps the body grow makes bones and muscles strong and protects the body from many diseases,and protects the body from many diseases
cannot,"Roughage cannot be digested
by the body.",Roughage cannot be digested by the body,roughage cannot be digested by the
